"Block Hash","Block Number","Pool","Provider","Pool Token Amount","Reserve Token Amount"
"0x8e0d079a57b0931885526bf1690cca0840c343bd75fd1adc63638d9b5e85d2f2",14757953,"BNT","0xED576e57AE40d9e8fAe69Fc5E71DB3A9AE66c23a","19777.060602789346074557","19779.470737066074618201"
"0x7b8ec64f6abad79206a56394001d62216d7d8d571f8fcaf7ddcfe0a258599a2c",14758061,"DAI","0xa48C6aC5024051871DbB115f4D5e3dca70bE0739","161342.589583151707837767","161368.251024861456010763"
"0xbd80676e8e4927a00b67beef32c826a0189b9bfb070db36911e6bfd2c463c8b8",14758363,"BNT","0xF6f6d531ed0f7fa18cae2C73b21aa853c765c4d8","32771.656061899062904385","32775.649784382210972241"
"0x39b1ba458fb84c95732e2bf1edf0d3878f9fd77a2dd647a18775053ac8649874",14758741,"BNT","0x2609008D74818905C895c4cfE4062CBb565d17fD","259249.986820030278008001","259281.580356199563591344"
"0xce468902581a52d9a756fd416960621933be0a0f670e4ef44af5b3f24b4a4302",14758840,"BNT","0x9A991Dd33768A6E8268f64b645d4ea18afc694A1","169458.586298953269260670","169479.237393447436214066"
"0xf0fce971bfc26e6347af5d977fcffcf905a9be7ef98dd198fa38842f5981b3c3",14759068,"LINK","0xE3f6eE431d882B722Fa4d1D8fd2a0749426DbFEA","6494.548508244122444437","6494.588405858264534684"
"0xf49abaed19c66fe2f14f5e538fca453f84391f1e64decf919629c5ce9a3679c3",14760138,"ETH","0x637e6C24a5b9Fe606c0C49a13E33e70aF2257f52","9.109459577190963896","9.110985098213828751"
"0x4a205193dc0b4c33118e0472d0ce8c4b03d12bc9855ada918c5e5064f40f2853",14760696,"DAI","0xc26892F608B3E97A24149F9C273449416e222060","121122.036446602219755324","121142.079682069091861043"
"0xe0bd6fa9038b420fad9ef4bc3fdcb5075d3812103296ac8600525d781dc60997",14760791,"BNT","0x90450285065bd2Aae5539e7DEc285c2B909CBbdC","41499.708603979124951941","41505.915165924520112910"
"0xfd13c182d5ee14943c1e2e8509f3877d3b493d26ec1f9af95deb1c24e396d5b4",14760869,"BNT","0xb2c05cC06F3DE252FD515f5f1Cc5Fa184d8cf728","6403.430882493313458656","6404.388558866767330041"
"0x80a62743c412acd13167894c5c87caf75a1109d6ccb45974150bc1be732afcf0",14761323,"BNT","0x136aea6a78D2014e1E5263b98DcfBBCB49f2B012","3248.295898635207721493","3248.781703244204888769"
"0x93eeeb98b8b19cbb29de74e067a97d3bd0a5c611a89f918822280743088e3761",14761346,"ETH","0xBE1B0A57572c4eECBDdECCefF4906c676E14a06f","2.002880061506998965","2.003215915559768232"
"0x5ea72e7b02d7c7b4d732f33dfec5d0fefb5017fa77363dc13750ef1b81574b6a",14761426,"BNT","0x706f25B14B96BC0741DA77C555AD6552552A30E7","6048.910263511253140513","6049.814918929701534681"
"0xfa243214a7449de8373e61d8a311ec9e27a528bb6583282af62476a19e9d8ed4",14762288,"BNT","0xFEF7D15719c259D6DE9896EfE767b9a0925b79A4","4347.999598015478452773","4348.659578162761861374"
"0xf0b089238dc1aaf5d1d44064cfb043bc36fac9fb57f36afe0c7ce927f0f2ac59",14762643,"BNT","0xc8925F322B79140577cd5069634098C4B35a5d5f","45042.710112753000663018","45051.084423845653011293"
"0xb49a2c1a6dd159933c829533d4040453fc759a6fc476bb32ab4ccf882cd73302",14762883,"BNT","0x9E2bA399bEBD28ebF48Bae66739fA87DacBB1114","347369.613725468620401825","347434.693978006096726878"
"0xb0d86e24ba9926f9e867e604495b11a61504ca15a0cf4eaa06a2543b5aab2346",14763385,"BNT","0xbDAa99322852947DdCA0F7c0ED82b66d21d467F1","16971.326084283970662585","16974.505689361154993951"
"0xe4e6804a363c8fe91c025da4ea3d5318b62cf91dd332a2394baaea6c637b8418",14763396,"LINK","0xbe407315C54f167D83A5D229d12Ad4fe83301944","159.337626270724707009","159.338821817943222617"
"0x71cc12b29a0b59b041dfdec6a1051a3366fcf6b24ba08a2c6144fde841a274e6",14764557,"BNT","0xace0294FCD4019525d9047C206F0DaADd4f68C1B","24994.871251912456865484","25000.000000000000000000"
"0x9ff124d597378774dfe7f4b0d49736ee77fa24cafd7298d199d95fda37995f87",14766562,"DAI","0xBfa49A4d8AB4b310cD69e9c38dA3560ed985aEd9","299964.636871586568220795","300033.927666178790434754"
"0x2211d3633f142195eeb667a784f2526af3195c7b4ffd6f223bbbc099dfacf08e",14767107,"LINK","0x50b1afc0008df0366D01528843AA8FA2f4C153c4","19499.725426293741381711","19499.880207423911731919"
"0x4d4e091ac1bf3f9ee1e632f5480ad7d0ae5636fe240f9866e097026b1100acab",14767714,"BNT","0x4Bf1fBC233Cd6109c35a4cd9D34540173Af3234c","2273.222402790169800530","2273.812295346379871619"
"0x348ff13ed9ea6121338b3d6576c2eb1f0e27d70cf29cb732f2ba101f643a837a",14767751,"LINK","0x9E2bA399bEBD28ebF48Bae66739fA87DacBB1114","81131.878056465007873356","81132.689075177377304061"
"0x554c1117b40e0b07963012a48f2bd331e61092321704f7a63ada85a8cb050bc4",14767790,"BNT","0x733168d3752404ce597323383d939ed4954f2C3F","604.842665072773891337","605.000074064945133701"
"0x093d4e46edfcef186441be84976f35459fc8a12be87839ff575251e1f40c0faf",14768064,"BNT","0xdA199F52E5c7752666907b11B7B61381f066B58A","169458.586298953269260670","169503.342314842963009252"
