"Contract Address","Block Hash","Block Number","Pool","Master Vault Balances","Staked Balance","Pool Token Supply"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x9524bb6ed670828b50d393513f5250ff7e6d0d34fc0ef81e2cd86fcdcc976de4",15010696,"LPL","188815528430477136029181","255483786241144125060779","254664015571143411817561"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x54eafe96f3f0f4e187a90b00b469b676a2c406e30645263d114e98a9524cff99",15007344,"HOT","238736018161016586916704592","304910011171193410507183510","304875296193097867808783301"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x7158dd893913721b2e2c6f9289737bcacdd7f4e8fcd86de17e71fe58d91809e2",15004450,"PSP","67546269157022850452231","67549149719569425298739","67549149719569425298739"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x1e95d702d7391f94dc9fd5882ed9284b6be3ae6c6e6e70132b876f9a7eef3e30",15005142,"LYRA","1648860385333830792716328","1649252147553981573846875","1649252147553981573846875"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x2399fba7d3d1bee160ea0bb6b51b0632f176f6266e18ab027fed11c37995172b",14995870,"GTC","15045355556438000233643","15063530090631123232770","15063530090631123232770"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x30c6954bba360f8c70dee290c35a6d13603a0b7df535b30fb848b537dae19b8e",14996072,"1INCH","12992417884033923662297","12984940958797072610350","12984940958797072610350"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x143e73c1894fc27d16f88647f6c76febe4fef242365ac1e04288c7d1de80fec8",15002359,"RLC","64519327398757","64519705132486","64519705132486"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xfe6cbf2039c511f18edea1519e2652dd2fc465e882485e7b68012081e22d8582",15010278,"TEMP","534092639490803110136117","586859885438070017594534","586711580850326892988460"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x6f59c4edc4003921e9de4ae0870c390b61bd89b987c5b9a0cc3aa6b6e316b57e",15010757,"REN","520269328078755608729178","571104612658949505642163","570796605004662535807854"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xfcc0a297caca37e671e6b64d2f0d1f7143e7aedc1d2a3c5d882ee9df84fa57ca",15006392,"COMP","416243742809340818347","415998478121862560072","415998478121862560072"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xea7d01a7cd5f6a118d1e056d24b9aa0edd398552f0f517fae04fd3797f274bae",15006178,"BAT","715548772804739705837276","2182547682396627637674355","2181007907169441503417237"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xbf2034ef66856a579ff61dedf64b3ca1e2de8dd7ff9f5f283db6cfa6013f448b",14998396,"SFI","41983295360073811733","41991183364698885756","41991183364698885756"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x05da25514223891e5e7122637e5e634fcf4cb50dfedd8be6412d319c078b9525",15005968,"UNI","5306050778565217494872","9844153058449930701716","9839802300553574839410"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x3eafeb99121c4e2636c34f7244e86b3697636fe52e4052ed9617c154e4a8880b",15009650,"ZCN","10009447855856664","10338043211403167","10335233545506404"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xbab487bd76562d25e1308fa7bee98e8d9c59693eebd30a1061366764bb460b4a",15011899,"GRT","86362478000408903949373","86191514485960687708650","86191514485960687708650"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x2c9480704d696fbd5a0028d9fa218106491aaceb41d870adde94009d5b4e97dc",14998680,"renBTC","34391223","34391245","34391245"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x176b81d59a8d9da85a4d8442379b15927721e220abc0f5147a636d1527ec7cbe",15000014,"RARI","7538865501638346031606","7541720058423730250750","7541720058423730250750"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x661a0cd27754333f26c08977c639cf0dc482187b7d876651d72fe351c2594501",15008815,"ICHI","539811859920981","571778208470482","571734743901999"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x5c7c1c49ec423c520746fbb7a05911d8d6774da759bbbaa3d7fb8de54c85853a",15002771,"INST","40479805163717112123238","69183724396184244033162","69183724396184244033162"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xc2734080387be1cfab66a6ebe8709fa493d46eea03a41d314aa3bcdab6594cef",15007452,"ARCONA","1529092740152781435323826","1605004800641250865724581","1600850681262440503421794"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xa69591c8062fe7c3a2892095e20d89c4435131108701feefb7e566976da8696e",15006653,"eRSDL","1834205723526177045150878","1834332343227623983601738","1834332343227623983601738"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xb8d4b1432820b17cd3413812ca9c3db48e8fa898304894610ce235219652795a",15007329,"PLR","325250648539714005420566","325282993495684233882911","325282993495684233882911"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x7668132b709913a90b7bf88d4e024ec2d8c5610114dfc0962bffe89dff4af0aa",15007340,"LRC","35732383453925268190241","35733811849841804420877","35733811849841804420877"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x49b11d67b2994aeec366a0254d959110e8c0214623fab89f59aa0e9340f99eae",15007534,"KTN","1600248810075205634781","1600364174146224606645","1600364174146224606645"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x67b42d83e8a806ecbd7438d11e15abd3fa7e9278d14e2d8377bce4357f283f46",15007938,"DDX","81305090921197347356984","84976534407151565449258","84886591108504727342559"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0xc59a4bce91b8531f0fab3d68d91bc8cc257cbd1b85fbec06945bad1eb090395e",15008986,"MLN","398798057499125945651","398806959084306046027","398806959084306046027"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x3e87c67687bd600432891e07614eef201e6fa779bd87a52a4068071098f8aa9d",15011768,"IDLE","385671396763496141138341","385802885953132518065895","385802885953132518065895"
"0x05E29F07B9710368A1D5658750e9B4B478c15bB8","0x84724fd9f5dd75d6fdd1a50c3f0d73e70e23bc39373e6a9cc40bdcda097059b4",15011915,"SATA","671475326298773089667645","714169112419516562316673","714003833896943133699604"
