"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","84228443.1308015","42877282.3555825","42622348.8350387","-","-","2633107.54903544","2641560.96586286","42877282.3555825","-","42877282.3555825","0.00000","-",0.430667,"-","41351160.775219","17808580.36"
"LINK","2211738.19872164","4053461.06032271","4038081.92011787","29824645.3586771","2211738.19872164","1288295.36736925","1292537.51757866","4053461.06032271","2211738.19872164","-","0.54564","-1841722.86160107",5.83,"-10737244.28","-","-"
"DAI","5449422.26099803","7016221.74335156","6985330.67095542","9383028.47552733","4085812.58004226","2778137.86588912","2786870.04016254","7016221.74335156","5449422.26099803","-","0.77669","-1566799.48235353",0.999454,"-1565944.01","-","-"
"wBTC","173.33560993","338.19535395","338.11884686","7697492.00774686","173.33560992","119.22157006","119.22404271","338.19535395","173.33560993","-","0.51253","-164.85974402",19208.45,"-3166700.15","-","-"
"ICHI","645148.88629692","919081.956828726","918686.590968459","2377559.79730026","248565.123475727","153512.485244515","153532.582359599","919081.956828726","645148.88629692","-","0.70195","-273933.070531806",4.23,"-1158736.89","-","-"
"ETH","9770.82044205704","17371.0405178989","17334.1084091299","23249663.5992915","9770.82044205704","6117.13926427124","6126.2480450706","17371.0405178989","9770.82044205704","-","0.56248","-7600.2200758419",1029.03,"-7820854.46","-","-"
"USDC","1114503.570832","2466853.731628","2463834.678353","2079878.68944307","906360.376579","2248363.293233","2248709.168051","2466853.731628","1114503.570832","-","0.45179","-1352350.160796",1.001,"-1353702.51","-","-"
"vBNT","3893628.78480423","3928178.56673833","3911829.18432939","1229889.53509752","1575587.417215","478965.726400027","480502.03260448","3928178.56673833","3893628.78480423","-","0.99120","-34549.7819341038",0.336498,"-11625.93","-","-"
"WOO","6096029.46745927","7979588.16561533","7975887.60419134","1764802.46685602","4934511.39096298","2264670.12544356","2265100.7973303","7979588.16561533","6096029.46745927","-","0.76395","-1883558.69815605",0.151211,"-284814.79","-","-"
"wNXM","11767.3271541619","22275.850565964","22135.1616310802","401237.973306697","11767.3271541619","2983.45798655004","2988.2792953679","22275.850565964","11767.3271541619","-","0.52825","-10508.5234118022",14.08,"-147960.01","-","-"
"TRAC","305438.958053021","315435.867254619","314801.815209645","126313.877065239","305438.958053021","-","-","315435.867254619","305438.958053021","-","0.96831","-9996.90920159734",0.178664,"-1786.09","-","-"
"HOT","240225417.220207","308450179.955455","308407908.121308","58594.1172503566","13904437.9133043","-","-","308450179.955455","240225417.220207","-","0.77881","-68224762.7352475",0.0018679,"-127437.03","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02654383,"-1527.44","-","-"
"BAT","747719.281744585","2349717.8079405","2347551.8056602","616002.24416499","747719.281744585","172336.331477848","172448.807264385","2349717.8079405","747719.281744585","-","0.31822","-1601998.52619591",0.352436,"-564601.95","-","-"
"BORING","36898436.7513423","43963806.058339","43960684.4244356","26596.3714494157","1174515.58062624","-","-","43963806.058339","36898436.7513423","-","0.83929","-7065369.30699666",0.01004977,"-71005.34","-","-"
"MFG","42228291.8115537","45198893.3445151","45197471.3712304","25318.3605619552","1395533.2016164","-","-","45198893.3445151","42228291.8115537","-","0.93428","-2970601.53296136",0.00762663,"-22655.68","-","-"
"ENJ","1514832.59008008","4904912.57400802","4898544.22148708","1591125.26101718","1514832.59008008","356645.823565345","356997.445021724","4904912.57400802","1514832.59008008","-","0.30884","-3390079.98392794",0.449909,"-1525227.50","-","-"
"REQ","1551178.93766815","1834573.55303705","1823556.27993073","383926.305724703","1551178.93766815","297684.409040048","297980.714059763","1834573.55303705","1551178.93766815","-","0.84553","-283394.615368906",0.105901,"-30011.77","-","-"
"LQTY","194525.406470285","202655.958010933","202577.243861729","61478.9683498247","27498.8276936447","-","-","202655.958010933","194525.406470285","-","0.95988","-8130.55154064739",0.948004,"-7707.80","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.116635,"-0.00","-","-"
"INDEX","9052.05200033683","10592.1930811072","10462.5071232612","61600.4151384143","9052.05200033683","-","-","10592.1930811072","9052.05200033683","-","0.85460","-1540.14108077039",2.93,"-4512.61","-","-"
"YFI","6.57877748103944","6.56417309933958","6.56417309933958","-","-","5.25634329372436","5.25634329372436","6.56417309933958","6.56417309933958","-","1.00000","-",5399.88,"-","0.0146043816998523","78.86"
"AMP","28996764.8615316","49460473.9757448","49335949.4049342","576251.199523362","28996764.8615316","46719821.7207639","46832495.057497","49460473.9757448","28996764.8615316","-","0.58626","-20463709.1142132",0.00856324,"-175235.65","-","-"
"MATIC","219556.531669157","762147.976940351","761395.989705719","269789.125416561","219556.531669157","94144.1673461929","94177.2072966174","762147.976940351","219556.531669157","-","0.28808","-542591.445271195",0.53552,"-290568.57","-","-"
"ANKR","533767.807126143","533821.375968213","533821.375968213","-","-","-","-","533821.375968213","533767.807126143","-","0.99990","-53.5688420698447",0.02526934,"-1.35","-","-"
"ROOK","117.089075143553","117.093834900634","117.093834900634","-","-","27.1053559953289","27.1053559953289","117.093834900634","117.089075143553","-","0.99996","-0.00475975708105845",25.72,"-0.12","-","-"
"RAIL","28982.2306360731","39573.5527049613","39573.5527049613","-","-","39573.5527049613","39573.5527049613","39573.5527049613","28982.2306360731","-","0.73236","-10591.3220688882",0.741207,"-7850.36","-","-"
"AAVE","861.275426273548","981.231541584804","980.578756520039","136508.903705082","861.275426273548","237.624330029078","237.738705833085","981.231541584804","861.275426273548","-","0.87775","-119.956115311256",68.78,"-8250.58","-","-"
"MPH","16307.4838691674","18209.7313756937","18202.9017264821","85009.5253259606","16307.4838691674","3053.21571335118","3053.92916719259","18209.7313756937","16307.4838691674","-","0.89554","-1902.24750652628",2.26,"-4299.08","-","-"
"MKR","40.170063068692","114.568850060924","114.436458841874","77358.2864281424","40.170063068692","31.1676227711645","31.1991052486772","114.568850060924","40.170063068692","-","0.35062","-74.3987869922322",802.8,"-59727.35","-","-"
"DIP","1501480.88260154","2184931.82645688","2183309.93017342","63841.496084545","1501480.88260154","397466.748241726","397707.437028928","2184931.82645688","1501480.88260154","-","0.68720","-683450.943855341",0.01880533,"-12852.52","-","-"
"MANA","224271.155890323","374927.536018882","374910.766138924","96847.2155145493","54477.1042314542","190255.057865449","190258.935433276","374927.536018882","224271.155890323","-","0.59817","-150656.380128559",0.768472,"-115775.21","-","-"
"QNT","1521.89664928418","3832.82525815135","3829.07717366964","279003.324850386","1521.89664928418","1097.2938531376","1097.60310888513","3832.82525815135","1521.89664928418","-","0.39707","-2310.92860886717",79.25,"-183141.09","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",13.94,"-","0.0342060091783252","0.48"
"SNX","40496.7956888759","45359.3555487432","44965.8663988503","217022.753000925","40496.7956888759","827.590218687994","832.7890221976","45359.3555487432","40496.7956888759","-","0.89280","-4862.55985986725",2.25,"-10940.76","-","-"
"LPL","59667.163261229","83044.6860336213","81942.6259976872","354237.682162151","59667.163261229","13211.5312189846","13247.2822515395","83044.6860336213","59667.163261229","-","0.71849","-23377.5227723923",2.5,"-58443.81","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02374332,"-","8.08840690228178","0.19"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.03754608,"-","-","-"
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-","14748.3783495132","14730.9916946729","-","0.99882","-17.3866548403282",2.03,"-35.29","-","-"
"1INCH","3942.26253588739","3912.10351704616","3912.10351704616","-","-","-","-","3912.10351704616","3912.10351704616","-","1.00000","-",0.554083,"-","30.1590188412283","16.71"
"RLC","73762.702003635","79814.415314911","79814.415314911","-","-","15294.710182425","15294.710182425","79814.415314911","73762.702003635","-","0.92418","-6051.713311276",0.809766,"-4900.47","-","-"
