"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","86337000.3437068","43591343.4577676","43299594.2193045","-","-","1755482.16424033","1763029.78070717","43591343.4577676","-","43591343.4577676","0.00000","-",0.521615,"-","42745656.8859392","22296775.82"
"LINK","2138451.51856045","3885543.01171142","3870537.26040973","28507409.9427775","2138451.51856045","1089469.53401883","1093035.52747367","3885543.01171142","2138451.51856045","-","0.55036","-1747091.49315097",6.95,"-12142285.88","-","-"
"DAI","5753299.7741573","6918530.39736423","6885306.15771503","8592873.5577445","4470012.24685143","2769744.33243332","2778453.58641473","6918530.39736423","5753299.7741573","-","0.83158","-1165230.62320693",0.999096,"-1164177.25","-","-"
"wBTC","178.55667487","338.40350666","338.30429132","7506486.34599073","178.55667487","119.20463168","119.20714322","338.40350666","178.55667487","-","0.52764","-159.84683179",22020,"-3519827.24","-","-"
"ICHI","720444.449764544","1096997.2213654","1096396.99990003","2368291.23437187","249783.207043655","151669.717236063","151689.02129771","1096997.2213654","720444.449764544","-","0.65674","-376552.771600853",4.95,"-1863936.22","-","-"
"ETH","8908.35963744713","17144.8800198925","17105.6261781999","26210078.9590501","8908.35963744713","5658.01841478772","5666.40245904073","17144.8800198925","8908.35963744713","-","0.51959","-8236.52038244538",1542.99,"-12708868.58","-","-"
"USDC","1392444.578254","2635873.174678","2630868.554451","2682016.93402429","1392444.578253","2247363.360705","2247709.168051","2635873.174678","1392444.578254","-","0.52827","-1243428.596424",0.999958,"-1243376.37","-","-"
"vBNT","3450853.16175382","3523525.93360308","3507033.67685576","1267280.68104106","1532528.18978342","478965.726400027","480502.03260448","3523525.93360308","3450853.16175382","-","0.97937","-72672.7718492662",0.426694,"-31009.04","-","-"
"WOO","5964124.83993801","7991648.61484947","7986974.01887239","1815546.58356873","4798325.19381531","2265932.49671944","2266363.76758376","7991648.61484947","5964124.83993801","-","0.74629","-2027523.77491147",0.200176,"-405861.60","-","-"
"wNXM","10084.5014920848","18835.5262296766","18706.0349035716","315677.50009969","10084.5014920848","1891.13798596581","1894.27460756361","18835.5262296766","10084.5014920848","-","0.53540","-8751.02473759182",16.2,"-141766.60","-","-"
"TRAC","255388.08943395","269484.040278359","268196.533850001","110810.259005288","255388.08943395","19904.4465544581","20000.","269484.040278359","255388.08943395","-","0.94769","-14095.9508444089",0.22616,"-3187.94","-","-"
"HOT","240085657.64304","308453048.366748","308407908.121308","59213.2270729961","13764678.3361371","-","-","308453048.366748","240085657.64304","-","0.77835","-68367390.7237087",0.00226389,"-154776.25","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02633342,"-1515.33","-","-"
"BAT","745064.203459885","2351822.44340439","2349565.76569451","617948.444899148","745064.203459885","172336.331477848","172448.807264385","2351822.44340439","745064.203459885","-","0.31680","-1606758.23994451",0.4285,"-688495.91","-","-"
"BORING","36917629.161734","43964026.7227758","43960684.4244356","26179.4395777685","1193707.99101799","-","-","43964026.7227758","36917629.161734","-","0.83972","-7046397.56104179",0.01082144,"-76252.17","-","-"
"MFG","42127534.5240724","45199105.5714997","45197471.3712304","27292.9556529269","1294775.9141351","-","-","45199105.5714997","42127534.5240724","-","0.93204","-3071571.04742733",0.01093413,"-33584.96","-","-"
"ENJ","1546839.96780954","5085029.23829813","5078044.87758518","1680767.16790923","1546839.96780954","356645.823565345","356997.445021724","5085029.23829813","1546839.96780954","-","0.30419","-3538189.27048859",0.57389,"-2030531.44","-","-"
"REQ","1688809.16569276","1870534.31806291","1859222.12880398","378877.772425107","1688809.16569276","164024.663179135","164187.927795874","1870534.31806291","1688809.16569276","-","0.90285","-181725.152370146",0.116606,"-21190.24","-","-"
"LQTY","197704.856789957","202658.373454453","202577.243861729","55125.1379374883","30678.2780133164","-","-","202658.373454453","197704.856789957","-","0.97556","-4953.51666449623",0.950097,"-4706.32","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.151822,"-0.00","-","-"
"INDEX","8640.524758551","10485.1307412528","10351.1708818023","63241.2332948389","8640.524758551","-","-","10485.1307412528","8640.524758551","-","0.82407","-1844.60598270178",3.77,"-6954.16","-","-"
"YFI","5.98450322752667","5.93664548514636","5.93664548514636","39116.2415656596","3.14992582193534","5.32661097700123","5.32661097700123","5.93664548514636","5.93664548514636","-","1.00000","-",6538.15,"-","0.0478577423803142","312.90"
"AMP","30924591.2311523","49809577.4221603","49684173.9281746","547905.573726298","30924591.2311523","46719821.7207639","46832495.057497","49809577.4221603","30924591.2311523","-","0.62086","-18884986.191008",0.00921711,"-174065.00","-","-"
"MATIC","193347.590315529","790247.091339471","789381.95229519","332836.677926588","193347.590315529","86075.3087705078","86102.3573491977","790247.091339471","193347.590315529","-","0.24467","-596899.501023942",0.913949,"-545535.70","-","-"
"ANKR","288533.480505339","283031.016951922","283031.016951922","16376.6766738446","288533.480505339","-","-","283031.016951922","283031.016951922","-","1.00000","-",0.02953996,"-","5502.46355341642","162.54"
"ROOK","117.088123518593","117.093834900634","117.093834900634","-","-","27.1053559953289","27.1053559953289","117.093834900634","117.088123518593","-","0.99995","-0.00571138204110984",30.67,"-0.18","-","-"
"RAIL","-","-","-","-","-","-","-","-","-","-","-","-",1.038,"-","-","-"
"AAVE","692.269436590784","830.037600081576","829.329251062451","131644.578398422","692.269436590784","41.3994560275269","41.4123022215753","830.037600081576","692.269436590784","-","0.83402","-137.768163490792",100.12,"-13793.35","-","-"
"MPH","15458.4168068297","17870.9869897388","17863.3530861035","86371.2056197908","15458.4168068297","2713.66707297255","2714.31892735904","17870.9869897388","15458.4168068297","-","0.86500","-2412.57018290904",2.94,"-7092.96","-","-"
"MKR","40.0965784005542","114.573256373516","114.436458841874","77515.969543419","40.0965784005542","31.1676227711645","31.1991052486772","114.573256373516","40.0965784005542","-","0.34996","-74.4766779729613",1035.51,"-77121.34","-","-"
"DIP","1459666.87569743","2185346.77545543","2183309.93017342","65704.0829628994","1459666.87569743","397466.748241726","397707.437028928","2185346.77545543","1459666.87569743","-","0.66793","-725679.899758009",0.02373968,"-17227.41","-","-"
"MANA","190128.345362263","326166.473367285","326133.718456099","342582.578364957","190128.345362263","190255.057865449","190258.935433276","326166.473367285","190128.345362263","-","0.58292","-136038.128005023",0.946731,"-128791.51","-","-"
"QNT","1381.7500593521","3612.3474476408","3608.01906328365","273154.24287416","1381.7500593521","1097.2938531376","1097.60310888513","3612.3474476408","1381.7500593521","-","0.38251","-2230.5973882887",103.83,"-231602.93","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",14.53,"-","0.0342060091783252","0.50"
"SNX","41501.2215213501","46188.8252633961","45760.4503573106","227827.243677372","41501.2215213501","827.590218687994","832.7890221976","46188.8252633961","41501.2215213501","-","0.89851","-4687.60374204601",2.87,"-13453.42","-","-"
"LPL","56534.575616814","79751.1098450695","78516.8268333875","345452.279859278","56534.575616814","8643.79899991831","8660.51244509961","79751.1098450695","56534.575616814","-","0.70889","-23216.5342282555",3.22,"-74757.24","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02751067,"-","8.08840690228178","0.22"
