"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85403963.9728723","45822363.3190785","45568634.2048319","-","-","2714238.98983611","2722793.63406874","45822363.3190785","-","45822363.3190785","0.00000","-",0.50024,"-","39581600.6537938","19800299.91"
"LINK","2592061.49874713","4661870.10277246","4644548.6867848","33565508.3521845","2592061.49874713","1602520.22342244","1607672.57677117","4661870.10277246","2592061.49874713","-","0.55601","-2069808.60402533",6.51,"-13474454.01","-","-"
"DAI","6211140.7975339","7632763.53796612","7602399.06623726","8787701.93509581","4358118.76595826","2889533.25867403","2898615.53415506","7632763.53796612","6211140.7975339","-","0.81375","-1421622.74043222",1.002,"-1424465.99","-","-"
"wBTC","140.73630104","372.50416704","372.43377913","5784821.27979125","140.73630103","164.30626108","164.31060045","372.50416704","140.73630104","-","0.37781","-231.767866",20530,"-4758194.29","-","-"
"ICHI","665743.766492448","931718.544199818","931389.060628931","2285325.65494035","258525.113388648","171890.473014853","171911.33923407","931718.544199818","665743.766492448","-","0.71453","-265974.77770737",4.36,"-1159650.03","-","-"
"ETH","10258.8958247183","18260.9643443369","18223.4937272648","24310275.8670285","10258.8958247183","8117.72381422391","8129.87910414823","18260.9643443369","10258.8958247183","-","0.56179","-8002.06851961865",1186.12,"-9491413.51","-","-"
"USDC","1174171.889916","2465445.255817","2463834.678353","1946515.85859706","966028.695663","2278333.20427","2278680.544279","2465445.255817","1174171.889916","-","0.47625","-1291273.365901",1.002,"-1293855.91","-","-"
"vBNT","4410284.01019383","4477485.7546684","4460711.52781431","1248368.72778095","1548545.8757932","504721.912788222","506295.366639252","4477485.7546684","4410284.01019383","-","0.98499","-67201.7444745712",0.402051,"-27018.53","-","-"
"WOO","6037063.87745899","7995633.74509974","7992546.17928878","1795383.38729154","4849102.19985802","2901251.0203998","2901797.21373213","7995633.74509974","6037063.87745899","-","0.75505","-1958569.86764075",0.183904,"-360188.83","-","-"
"wNXM","10435.657788336","22065.1577871265","21955.3613212865","444791.748133361","10435.657788336","2983.45798655004","2988.2792953679","22065.1577871265","10435.657788336","-","0.47295","-11629.4999987905",20.94,"-243521.73","-","-"
"TRAC","816353.03065073","817765.75618437","816864.436418611","317753.200502862","816353.03065073","4403.92247825634","4408.78172074451","817765.75618437","816353.03065073","-","0.99827","-1412.72553364004",0.197987,"-279.70","-","-"
"HOT","239836194.243791","306987148.629762","306945354.689006","29202.7368470537","6974145.5510722","-","-","306987148.629762","239836194.243791","-","0.78126","-67150954.3859715",0.00211644,"-142120.97","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.0273757,"-1575.30","-","-"
