"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85149882.1124244","43758622.8269365","43505807.2946955","-","-","3066362.54087775","3077451.97064624","43770150.9361315","-","43770150.9361315","0.00000","-",0.445511,"-","41379731.176293","18435125.42"
"LINK","2204293.78293443","4036065.48026535","4020728.56003727","29669493.596243","2204293.78293443","1272878.25580925","1277065.53451171","4036065.48026535","2204293.78293443","-","0.54615","-1831771.69733091",6.03,"-11045583.33","-","-"
"DAI","5514195.13834931","7016457.2313132","6985330.67095542","9238658.10496004","4150585.45739354","2778137.86588912","2786870.04016254","7016457.2313132","5514195.13834931","-","0.78589","-1502262.09296389",1.002,"-1505266.62","-","-"
"wBTC","173.5493928","337.87836179","337.80004859","7673710.38100371","173.5493928","119.20463168","119.20714322","337.87836179","173.5493928","-","0.51364","-164.32896899",19768.34,"-3248510.93","-","-"
"ICHI","644581.632085341","923050.999494863","922648.346279505","2385156.47972104","247779.006284601","151669.717236063","151689.02129771","923050.999494863","644581.632085341","-","0.69832","-278469.367409522",4.25,"-1183494.81","-","-"
"ETH","9672.45786053336","17346.0884948619","17308.9461738679","23419647.4638969","9673.15627772444","6109.48514627005","6118.57860004003","17346.0884948619","9673.15627772444","-","0.55766","-7672.93221713744",1082.62,"-8306869.88","-","-"
"USDC","1131432.945819","2461882.319531","2458670.458924","2510692.56569653","1131432.945818","2247363.360705","2247709.168051","2461882.319531","1131432.945819","-","0.45958","-1330449.373712",1.001,"-1331779.82","-","-"
"vBNT","3808699.46227879","3867968.74612639","3851603.78282064","1250215.80702342","1550242.5834271","478965.726400027","480502.03260448","3867968.74612639","3808699.46227879","-","0.98468","-59269.2838476038",0.360997,"-21396.03","-","-"
"WOO","6090040.97724402","7980935.02204365","7977149.97546722","1767440.3951543","4927304.07724108","2266646.32280504","2267077.92587066","7980935.02204365","6090040.97724402","-","0.76307","-1890894.04479963",0.161329,"-305056.05","-","-"
"wNXM","12178.2773755007","22275.850565964","23213.5331325583","399317.674527785","12540.2335372448","2983.45798655004","2988.2792953679","23361.0760918438","12540.2335372448","-","0.53680","-10820.842554599",14.53,"-157226.84","-","-"
"TRAC","307794.214737509","315435.867254619","314801.815209645","125360.848818411","307794.214737509","39919.596709088","40000.","315435.867254619","307794.214737509","-","0.97577","-7641.65251711014",0.182613,"-1395.47","-","-"
"HOT","240225417.220207","308450179.955455","308407908.121308","58594.1172503566","13904437.9133043","-","-","308450179.955455","240225417.220207","-","0.77881","-68224762.7352475",0.0019215,"-131093.88","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02612384,"-1503.27","-","-"
"BAT","747719.281744585","2349717.8079405","2347551.8056602","616002.24416499","747719.281744585","172336.331477848","172448.807264385","2349717.8079405","747719.281744585","-","0.31822","-1601998.52619591",0.367516,"-588760.09","-","-"
"BORING","36898436.7513423","43963806.058339","43960684.4244356","26596.3714494157","1174515.58062624","-","-","43963806.058339","36898436.7513423","-","0.83929","-7065369.30699666",0.01040053,"-73483.59","-","-"
"MFG","42228291.8115537","45198893.3445151","45197471.3712304","25318.3605619552","1395533.2016164","-","-","45198893.3445151","42228291.8115537","-","0.93428","-2970601.53296136",0.00800823,"-23789.26","-","-"
"ENJ","1521567.9665393","4905662.87079228","4899293.54411444","1584928.6392717","1521567.9665393","356645.823565345","356997.445021724","4905662.87079228","1521567.9665393","-","0.31017","-3384094.90425299",0.469531,"-1588937.46","-","-"
"REQ","1554588.99128114","1834573.55303705","1823556.27993073","383090.043003014","1554588.99128114","297684.409040048","297980.714059763","1834573.55303705","1554588.99128114","-","0.84738","-279984.561755914",0.109265,"-30592.51","-","-"
"LQTY","194964.68004956","202656.628376384","202577.243861729","60516.5830848856","27938.1012729189","-","-","202656.628376384","194964.68004956","-","0.96204","-7691.94832682401",0.941476,"-7241.78","-","-"
