"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85874359.7399656","43773761.5303817","43493950.7158957","-","-","2851040.19286493","2861428.44430591","43773763.0137224","-","43773763.0137224","0.00000","-",0.488759,"-","42100596.7262432","20577045.56"
"LINK","2158602.67312682","3917654.73575741","3902680.11551418","28577083.8786572","2158602.67312682","1111809.22534894","1115457.55063239","3917654.73575741","2158602.67312682","-","0.55099","-1759052.0626306",6.52,"-11469019.45","-","-"
"DAI","5636873.03752272","6917104.79412027","6885306.15771503","8815406.5975191","4353585.51021686","2778077.26101187","2786809.38204076","6917104.79412027","5636873.03752272","-","0.81492","-1280231.75659755",1.001,"-1281511.99","-","-"
"wBTC","176.0681366","338.3925031","338.30429132","7608399.46056847","176.06813659","119.20463168","119.20714322","338.3925031","176.0681366","-","0.52031","-162.3243665",21315,"-3459943.87","-","-"
"ICHI","717507.682329561","1097109.30704657","1096575.2177374","2396137.11599552","246729.622751602","151669.717236063","151689.02129771","1097109.30704657","717507.682329561","-","0.65400","-379601.624717009",4.75,"-1803107.72","-","-"
"ETH","9249.13210158396","17465.8706357414","17426.9474181701","25359633.2821374","9249.51853163429","5967.90713520244","5976.75834975486","17465.8706357414","9249.51853163429","-","0.52958","-8216.35210410707",1349.42,"-11087309.86","-","-"
"USDC","1359202.776281","2635080.222025","2630868.554451","2744017.64675416","1359202.77628","2247363.360705","2247709.168051","2635080.222025","1359202.776281","-","0.51581","-1275877.445744",1.001,"-1277153.32","-","-"
"vBNT","3714354.25280694","3784511.45838436","3767662.15327925","1260378.0400602","1539305.82955244","478965.726400027","480502.03260448","3784511.45838436","3714354.25280694","-","0.98146","-70157.2055774196",0.394723,"-27692.66","-","-"
"WOO","5963227.9301563","7982205.61846981","7977908.62845903","1814469.1287291","4800435.73473616","2265932.49671944","2266363.76758376","7982205.61846981","5963227.9301563","-","0.74707","-2018977.68831351",0.183991,"-371473.72","-","-"
"wNXM","12469.2486317331","23427.0691270567","23269.1484282677","403522.569476451","12469.2486317331","1891.13798596581","1894.27460756361","23427.0691270567","12469.2486317331","-","0.53226","-10957.8204953236",15.92,"-174448.50","-","-"
"TRAC","288803.232956912","316313.055324955","314801.815209645","134323.948505931","288803.232956912","19904.4465544581","20000.","316313.055324955","288803.232956912","-","0.91303","-27509.822368043",0.22419,"-6167.43","-","-"
"HOT","240551009.140069","308450848.565718","308407908.121308","57260.8487353267","14230029.8331661","-","-","308450848.565718","240551009.140069","-","0.77987","-67899839.4256495",0.00207107,"-140625.32","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02611282,"-1502.63","-","-"
"BAT","757988.082142539","2351751.94127259","2349565.76569451","607335.491627784","757988.082142539","172336.331477848","172448.807264385","2351751.94127259","757988.082142539","-","0.32231","-1593763.85913005",0.395924,"-631009.36","-","-"
"BORING","36935139.0654885","43963869.1099711","43960684.4244356","25794.9578199211","1211217.8947724","-","-","43963869.1099711","36935139.0654885","-","0.84012","-7028730.04448268",0.01040325,"-73121.64","-","-"
"MFG","42164755.4588113","45199027.1723393","45197471.3712304","26528.6827326225","1331996.84887396","-","-","45199027.1723393","42164755.4588113","-","0.93287","-3034271.71352804",0.00976586,"-29632.27","-","-"
"ENJ","1528692.63345978","4908043.84788136","4901517.08095222","1582540.67810018","1528692.63345978","356645.823565345","356997.445021724","4908043.84788136","1528692.63345978","-","0.31147","-3379351.21442158",0.511008,"-1726875.51","-","-"
"REQ","1586341.01479222","1834651.46508548","1823556.27993073","375512.063068588","1586341.01479222","297684.409040048","297980.714059763","1834651.46508548","1586341.01479222","-","0.86466","-248310.450293251",0.11685,"-29015.08","-","-"
"LQTY","197155.206081696","202657.901566392","202577.243861729","56127.6021016903","30128.6273050549","-","-","202657.901566392","197155.206081696","-","0.97285","-5502.69548469609",0.923605,"-5082.32","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.140975,"-0.00","-","-"
