"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"RAIL","24800.2865779095","24810.0079589461","24810.0079589461","-","-","24810.0079589461","24810.0079589461"
"AAVE","599.015026823952","660.780624463326","660.574829703248","76614.89892294","599.015026823952","277.329887131656","277.395929181952"
"MPH","42338.8286894207","44450.3244189711","44445.3279492909","49697.3603131782","8714.34001183101","6572.6390133662","6573.1713789409"
"MKR","129.591391489563","364.258533853409","363.889904088814","26590.4918417408","13.8654582788404","346.516141121316","346.861384835001"
"DIP","3791893.33658243","5203246.53073045","5200741.18386481","106822.359619948","2544547.06182423","2809615.03881407","2810690.05555766"
"MANA","188588.117887707","192497.111493785","192491.078023053","24465.4573295779","13473.7826745269","191702.021059334","191705.926171514"
"QNT","2842.53988463721","5151.56553668036","5149.67358303465","243712.394545385","2077.14128281915","3188.65847746429","3189.51915998274"
"NMR","46.2619254700935","46.2710691135381","46.2710691135381","-","-","46.2710691135381","46.2710691135381"
"SNX","29762.6681990664","38093.6198950016","37832.7900038203","136763.142407213","26707.0796415233","19638.8639346912","19753.901641247"
"LPL","186494.364256874","248342.556403812","247455.108791063","569735.786160533","104101.874123702","45223.21092598","45300.2190621457"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-"
"LYRA","1648860.38533383","1649252.14755398","1649252.14755398","-","-","1649252.14755398","1649252.14755398"
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-"
"1INCH","12992.4178840339","12984.9409587971","12984.9409587971","-","-","9072.83744175091","9072.83744175091"
"RLC","64519.327398757","64519.705132486","64519.705132486","-","-","-","-"
"TEMP","541731.234125354","586876.424611283","586711.580850327","38462.5479504765","541731.234125354","139271.123643923","139305.579393851"
"REN","529607.315042652","584058.241493711","583632.131198221","113227.822834949","500089.697669675","407160.919787857","407378.890834555"
"COMP","416.243742809341","415.998478121863","415.998478121863","-","-","410.748340440207","410.748340440207"
"SFI","41.9832953600738","41.9911833646989","41.9911833646989","-","-","-","-"
"UNI","5353.30306975663","10371.6412931871","10366.3383961675","32490.4239434622","2992.55860446882","3923.27271057329","3924.50641565574"
"ZCN","1350868.19986051","1408520.38654319","1408004.7388954","54832.7856797315","155955.645863311","606647.222698814","606839.752882917"
"GRT","113817.920642556","113647.090136772","113647.090136772","-","-","43017.161728805","43017.161728805"
"renBTC","0.34391223","0.34391245","0.34391245","-","-","0.01780006","0.01780006"
"RARI","7538.86550163835","7541.72005842373","7541.72005842373","-","-","-","-"
"INST","40479.8051637171","69183.7243961842","69183.7243961842","-","-","-","-"
"ARCONA","1591894.39311749","1606772.45507164","1600850.68126244","82226.5261276862","719516.966872944","-","-"
"eRSDL","2045432.51237253","2045421.81407245","2045421.81407245","-","-","1391810.06231325","1391810.06231325"
"PLR","325250.648539714","325282.993495684","325282.993495684","-","-","-","-"
"LRC","24694.6548157453","24621.2077358157","24621.2077358157","-","-","16915.9267431963","16915.9267431963"
"KTN","1600.24881007521","1600.36417414622","1600.36417414622","-","-","1600.36417414622","1600.36417414622"
"DDX","81284.176028303","85003.9905467286","84886.5911085047","24653.2994820606","16453.1474432086","71257.1690735565","71332.6679316772"
"MLN","451.006589821377","451.015778302346","451.015778302346","-","-","414.393846781395","414.393846781395"
"IDLE","385671.396763496","385802.885953133","385802.885953133","-","-","-","-"
