"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85493329.2903073","43447388.794995","43177857.0087386","-","-","2921268.89196015","2931973.49970619","43447388.794995","-","43447388.794995","0.00000","-",0.462324,"-","42045940.4953123","19438847.39"
"LINK","2151716.86764892","3924426.95687515","3909468.51966156","28764293.8157142","2151716.86764892","1210512.57498326","1214492.93852012","3924426.95687515","2151716.86764892","-","0.54829","-1772710.08922623",6.19,"-10973075.45","-","-"
"DAI","5504794.78009368","6916596.30210906","6885366.76259228","9086986.82125192","4221457.71689765","2778137.86588912","2786870.04016254","6916596.30210906","5504794.78009368","-","0.79588","-1411801.52201538",1,"-1411801.52","-","-"
"wBTC","173.06127854","337.88314075","337.80004859","7695745.98889501","173.06127854","119.20463168","119.20714322","337.88314075","173.06127854","-","0.51219","-164.82186221",20592,"-3394011.79","-","-"
"ICHI","641261.933236941","923097.724133301","922648.346279505","2418233.55310708","244459.307436201","151669.717236063","151689.02129771","923097.724133301","641261.933236941","-","0.69468","-281835.79089636",4.61,"-1299263.00","-","-"
"ETH","9497.28189940222","17470.8169053432","17432.546321417","24620485.2824271","9497.28189940222","6030.84536070143","6039.79908417348","17470.8169053432","9497.28189940222","-","0.54361","-7973.53500594102",1196.47,"-9540095.43","-","-"
"USDC","1150291.27149","2462250.381336","2458670.458924","2471385.71086345","1150291.271489","2247363.360705","2247709.168051","2462250.381336","1150291.27149","-","0.46717","-1311959.109846",1.001,"-1313271.07","-","-"
"vBNT","3750536.03927721","3790620.72899606","3774571.50117523","1235738.52119922","1568622.27652191","478965.726400027","480502.03260448","3790620.72899606","3750536.03927721","-","0.98943","-40084.6897188463",0.368844,"-14785.00","-","-"
"WOO","5987022.8654305","7980604.86777761","7976436.14938161","1805214.3745809","4824824.17017855","2265932.49671944","2266363.76758376","7980604.86777761","5987022.8654305","-","0.75020","-1993582.00234711",0.174299,"-347479.35","-","-"
"wNXM","12200.3575525257","23370.4946779413","23213.5331325583","411000.292355899","12200.3575525257","2983.45798655004","2988.2792953679","23370.4946779413","12200.3575525257","-","0.52204","-11170.1371254156",15.87,"-177270.08","-","-"
"TRAC","301205.041287911","315566.951335586","314801.815209645","128174.08705012","301205.041287911","39919.596709088","40000.","315566.951335586","301205.041287911","-","0.95449","-14361.910047675",0.201101,"-2888.19","-","-"
"HOT","240190524.605698","308450689.372911","308407908.121308","58745.652566377","13869545.2987956","-","-","308450689.372911","240190524.605698","-","0.77870","-68260164.7672128",0.00197941,"-135114.85","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02612951,"-1503.59","-","-"
"BAT","745474.170867982","2351751.94127259","2349565.76569451","617494.491146734","745474.170867982","172336.331477848","172448.807264385","2351751.94127259","745474.170867982","-","0.31699","-1606277.7704046",0.387179,"-621917.02","-","-"
"BORING","36911894.6403281","43963869.1099711","43960684.4244356","26298.5930112293","1187973.46961207","-","-","43963869.1099711","36911894.6403281","-","0.83960","-7051974.46964301",0.01006296,"-70963.74","-","-"
"MFG","42194425.8640291","45198964.6770023","45197471.3712304","25949.4114631495","1361667.25409181","-","-","45198964.6770023","42194425.8640291","-","0.93353","-3004538.81297322",0.00874528,"-26275.53","-","-"
"ENJ","1510783.95806141","4907379.91997606","4900860.36438087","1599829.78417585","1510783.95806141","356645.823565345","356997.445021724","4907379.91997606","1510783.95806141","-","0.30786","-3396595.96191465",0.49043,"-1665792.56","-","-"
"REQ","1575592.33539592","1834573.55303705","1823556.27993073","378018.889696075","1575592.33539592","297684.409040048","297980.714059763","1834573.55303705","1575592.33539592","-","0.85883","-258981.217641136",0.11104,"-28757.27","-","-"
"LQTY","196236.616854264","202657.901566392","202577.243861729","57890.1584333476","29210.0380776229","-","-","202657.901566392","196236.616854264","-","0.96831","-6421.28471212809",0.929336,"-5967.53","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.12895,"-0.00","-","-"
"INDEX","8931.43870783986","10480.6207772081","10351.1708818023","61125.6893922988","8931.43870783986","-","-","10480.6207772081","8931.43870783986","-","0.85219","-1549.18206936825",3.17,"-4910.91","-","-"
"YFI","5.88096965934713","5.86637780186948","5.86637780186948","19979.8365124724","1.54167345949188","5.25634329372436","5.25634329372436","5.86637780186948","5.86637780186948","-","1.00000","-",5959.83,"-","0.014591857477645","86.96"
"AMP","29393069.9830494","49465133.030754","49340596.7300351","569894.129368671","29393069.9830494","46719821.7207639","46832495.057497","49465133.030754","29393069.9830494","-","0.59422","-20072063.0477046",0.00894281,"-179500.65","-","-"
"MATIC","201613.603191176","771216.039950518","770409.207756151","300655.189512158","201613.603191176","86075.3087705078","86102.3573491977","771216.039950518","201613.603191176","-","0.26142","-569602.436759343",0.687965,"-391866.54","-","-"
"ANKR","526623.42530845","521109.841803186","521109.841803186","19671.6012861928","346585.31149263","-","-","521109.841803186","521109.841803186","-","1.00000","-",0.02688095,"-","5513.58350526372","148.21"
