"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD"
"MPH","40189.4255694201","41060.982972552","41055.7609847961","44234.9624253772","9793.71701584095","3183.07204887136","3183.36721965026","40958.3305151206","40088.9520054966","-","0.97877","-869.378509624041",2.23,"-1938.71"
"MKR","39.5948195849129","111.38326416937","111.270544266789","53180.9836834818","27.812524055258","87.7625965685686","87.849292262602","111.104806008947","39.4958325359507","-","0.35548","-71.6089734729964",945.22,"-67686.23"
"DIP","2876320.49570811","4126600.58254201","4124043.41062241","112440.39119776","2418357.32470187","1603149.79516827","1603941.94690607","4116284.08108566","2869129.69446884","-","0.69702","-1247154.38661681",0.02349324,"-29299.70"
"MANA","188601.895331879","192497.878601772","192491.078023053","24443.3864927872","13487.5601186993","191702.021059334","191705.926171514","192016.633905268","188130.39059355","-","0.97976","-3886.24331171842",0.887058,"-3447.32"
"QNT","2381.38766841164","4182.03583666433","4180.45970723063","235349.689696744","2151.17707653153","2748.86882011295","2749.67930155024","4171.58074707267","2375.43419924061","-","0.56943","-1796.14654783206",55.25,"-99237.10"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","250.666647597261","250.666647597261","-","1.00000","-",,
"SNX","28586.1270193157","37169.9144894936","36903.4951191989","139194.470824316","26259.9182504592","6209.56905006975","6246.96692931216","37076.9897032698","28514.6617017674","-","0.76907","-8562.32800150242",2.62,"-22433.30"
"LPL","183067.40900477","241886.447652894","240966.525829374","562415.16118509","105580.591010236","184871.66616836","185463.667715618","241281.731533761","182609.740482258","-","0.75683","-58671.991051503",2.69,"-157827.66"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63003.6580351767","63003.6580351767","-","1.00000","-",,
"LYRA","1271012.19126257","1270456.96552766","1270456.96552766","-","-","1270456.96552766","1270456.96552766","1267280.82311384","1267280.82311384","-","1.00000","-",,
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-","14711.5074036394","14711.5074036394","-","1.00000","-",,
"1INCH","3942.26253588739","3912.10351704616","3912.10351704616","-","-","-","-","3902.32325825355","3902.32325825355","-","1.00000","-",,
"RLC","64519.327398757","64519.705132486","64519.705132486","-","-","-","-","64358.405869654","64358.405869654","-","1.00000","-",,
"TEMP","532807.389116989","586891.625549674","586711.580850327","39107.8623788411","532807.389116989","107793.769300397","107821.016607318","585424.3964858","531475.370644197","-","0.90785","-53949.0258416032",0.03635318,"-1961.22"
"REN","417837.79955139","453748.648569547","453398.401792689","93445.4415757449","417837.79955139","276927.190382325","277084.563786057","452614.276948123","416793.205052511","-","0.92086","-35821.0718956118",0.113986,"-4083.10"
"COMP","27.7003254507982","26.4812677373587","26.4812677373587","-","-","21.2311300557029","21.2311300557029","26.4150645680153","26.4150645680153","-","1.00000","-",,
"SFI","41.9832953600738","41.9911833646989","41.9911833646989","-","-","-","-","41.8862054062871","41.8862054062871","-","1.00000","-",,
"UNI","5503.11860118505","10371.6412967716","10366.3383961675","30944.0150996464","3142.37413589724","3923.27271057329","3924.50641565574","10345.7121935297","5489.36080468209","-","0.53059","-4856.35138884757",5.06,"-24573.14"
"ZCN","1237745.33952165","1295156.66150036","1294668.25812399","56433.8253693854","151537.644195912","493310.741927405","493473.391299214","1291918.76984661","1234650.97617285","-","0.95567","-57267.7936737638",0.183938,"-10533.72"
"GRT","113817.920642556","113647.090136772","113647.090136772","-","-","43017.161728805","43017.161728805","113362.97241143","113362.97241143","-","1.00000","-",,
"renBTC","0.34391223","0.34391245","0.34391245","-","-","0.01780006","0.01780006","0.34305266","0.34305266","-","1.00000","-",,
"RARI","7538.86550163835","7541.72005842373","7541.72005842373","-","-","-","-","7522.86575827767","7522.86575827767","-","1.00000","-",,
"INST","40479.8051637171","69183.7243961842","69183.7243961842","-","-","-","-","69010.7650851938","40378.6056508078","-","0.58511","-28632.159434386",0.780405,"-22344.68"
"ARCONA","1571217.50814082","1607697.47361007","1600850.68126244","84770.478945579","698840.081896278","-","-","1603678.22992605","1567289.46437047","-","0.97731","-36388.7655555786",0.073692,"-2681.56"
"eRSDL","877489.998486939","874552.125966597","874552.125966597","-","-","341303.234587852","341303.234587852","872365.74565168","872365.74565168","-","1.00000","-",,
"PLR","325250.648539714","325282.993495684","325282.993495684","-","-","-","-","324469.786011945","324469.786011945","-","1.00000","-",,
"LRC","24694.6548157453","24621.2077358157","24621.2077358157","-","-","16915.9267431963","16915.9267431963","24559.6547164761","24559.6547164761","-","1.00000","-",,
"KTN","1600.24881007521","1600.36417414622","1600.36417414622","-","-","1600.36417414622","1600.36417414622","1596.36326371086","1596.36326371086","-","1.00000","-",,
"DDX","61366.2074650594","64969.6604067708","64872.9985308886","26156.8371570692","15515.3113781712","51243.5764959403","51297.8704225973","64807.2362557539","61212.7919463968","-","0.94454","-3594.44430935707",0.835504,"-3003.17"
"MLN","451.006589821377","451.015778302346","451.015778302346","-","-","414.393846781395","414.393846781395","449.888238856591","449.888238856591","-","1.00000","-",,
"IDLE","385671.396763496","385802.885953133","385802.885953133","-","-","375551.320587514","375551.320587514","384838.37873825","384838.37873825","-","1.00000","-",,
