"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85823475.082736","43381413.3930167","43099111.0513559","-","-","2871539.27132791","2882070.69181664","43381413.3930167","-","43381413.3930167","0.00000","-",0.511626,"-","42442061.6897193","21714462.25"
"LINK","2153543.59539239","3904135.42632176","3889159.1206913","28470143.2799102","2152152.50084022","1096175.71195256","1099767.08469887","3904140.31961918","2152152.50084022","-","0.55125","-1751987.81877896",6.9,"-12088715.95","-","-"
"DAI","5733676.33592225","6917404.34683597","6885306.15771503","8626171.66979053","4450388.80861639","2778077.26101187","2786809.38204076","6917404.34683597","5733676.33592225","-","0.82888","-1183728.01091371",0.999988,"-1183713.81","-","-"
"wBTC","175.94918327","338.39788211","338.30429132","7617089.93782901","175.94918327","119.20463168","119.20714322","338.39788211","175.94918327","-","0.51995","-162.44869884",22280,"-3619357.01","-","-"
"ICHI","718657.871304446","1096931.00240782","1096396.99990003","2383980.9245463","247996.628583557","151669.717236063","151689.02129771","1096931.00240782","718657.871304446","-","0.65515","-378273.131103378",5.03,"-1902713.85","-","-"
"ETH","8959.34248654908","17254.0298803607","17215.1074783744","25684478.6861952","8959.34248654908","5708.15214323008","5716.59620135375","17254.0298803607","8959.34248654908","-","0.51926","-8294.68739381164",1480.81,"-12282856.04","-","-"
"USDC","1386352.785045","2635283.474517","2630868.554451","2691453.85603553","1386352.785044","2247363.360705","2247709.168051","2635283.474517","1386352.785045","-","0.52607","-1248930.689472",1.001,"-1250179.62","-","-"
"vBNT","3649275.69365682","3715761.53529702","3698905.3105039","1258703.44012505","1542014.79767513","478965.726400027","480502.03260448","3715761.53529702","3649275.69365682","-","0.98211","-66485.8416402025",0.411745,"-27375.21","-","-"
"WOO","5957507.30517849","7984775.83609503","7980327.84011559","1817071.08825766","4793850.69257976","2265932.49671944","2266363.76758376","7984775.83609503","5957507.30517849","-","0.74611","-2027268.53091654",0.194767,"-394845.01","-","-"
"wNXM","11704.1675920688","22241.875995052","22090.9167985208","379159.854982644","11704.1675920688","1891.13798596581","1894.27460756361","22241.875995052","11704.1675920688","-","0.52622","-10537.7084029832",16.53,"-174188.32","-","-"
"TRAC","249675.14898064","264056.84104793","262795.263998878","108331.47304187","249675.14898064","19904.4465544581","20000.","264056.84104793","249675.14898064","-","0.94554","-14381.6920672905",0.224118,"-3223.20","-","-"
"HOT","240525020.729242","308451426.12381","308407908.121308","57370.188838041","14204041.4223396","-","-","308451426.12381","240525020.729242","-","0.77978","-67926405.3945674",0.00215406,"-146317.55","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02668803,"-1535.73","-","-"
"BAT","759125.04047054","2351751.94127259","2349565.76569451","606429.055526477","759125.04047054","172336.331477848","172448.807264385","2351751.94127259","759125.04047054","-","0.32279","-1592626.90080205",0.409873,"-652774.77","-","-"
"BORING","36935139.0654885","43963869.1099711","43960684.4244356","25794.9578199211","1211217.8947724","-","-","43963869.1099711","36935139.0654885","-","0.84012","-7028730.04448268",0.01068348,"-75091.30","-","-"
"MFG","42164755.4588113","45199027.1723393","45197471.3712304","26528.6827326225","1331996.84887396","-","-","45199027.1723393","42164755.4588113","-","0.93287","-3034271.71352804",0.01074362,"-32599.06","-","-"
"ENJ","1494659.92690032","4916251.44195522","4909577.22459072","1624073.83811035","1494659.92690032","356645.823565345","356997.445021724","4916251.44195522","1494659.92690032","-","0.30402","-3421591.5150549",0.557625,"-1907964.97","-","-"
"REQ","1622221.77183529","1862493.24554793","1851229.68524665","380180.510592073","1622221.77183529","297684.409040048","297980.714059763","1862493.24554793","1622221.77183529","-","0.87099","-240271.47371264",0.119092,"-28614.41","-","-"
"LQTY","197346.953556996","202658.373454453","202577.243861729","55774.9161277667","30320.3747803552","-","-","202658.373454453","197346.953556996","-","0.97379","-5311.41989745744",0.938764,"-4986.17","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.146452,"-0.00","-","-"
"INDEX","8640.524758551","10485.1307412528","10351.1708818023","63241.2332948389","8640.524758551","-","-","10485.1307412528","8640.524758551","-","0.82407","-1844.60598270178",3.79,"-6991.06","-","-"
"YFI","5.91425911082292","5.86637780186948","5.86637780186948","19558.1207828298","1.57496291096767","5.25634329372436","5.25634329372436","5.86637780186948","5.86637780186948","-","1.00000","-",6513.01,"-","0.0478813089534311","311.85"
"AMP","30308854.7806756","49809577.4221603","49684173.9281746","558957.593157408","30308854.7806756","46719821.7207639","46832495.057497","49809577.4221603","30308854.7806756","-","0.60849","-19500722.6414847",0.009258,"-180537.69","-","-"
"MATIC","187263.246441691","771242.718524445","770409.207756151","323750.590278268","187263.246441691","86075.3087705078","86102.3573491977","771242.718524445","187263.246441691","-","0.24281","-583979.472082754",0.902499,"-527040.89","-","-"
"ANKR","526612.305356602","521109.841803186","521109.841803186","29889.6316718205","526612.305356602","-","-","521109.841803186","521109.841803186","-","1.00000","-",0.02890658,"-","5502.46355341642","159.06"
"ROOK","117.088123518593","117.093834900634","117.093834900634","-","-","27.1053559953289","27.1053559953289","117.093834900634","117.088123518593","-","0.99995","-0.00571138204110984",29.62,"-0.17","-","-"
"RAIL","-","-","-","-","-","-","-","-","-","-","-","-",1.031,"-","-","-"
"AAVE","699.139746476807","830.013917734424","829.329251062451","130343.88657407","699.139746476807","41.3994560275269","41.4123022215753","830.013917734424","699.139746476807","-","0.84232","-130.874171257616",97.02,"-12697.41","-","-"
"MPH","15796.5505218693","18210.4481158603","18202.9017264821","87763.0628636555","15796.5505218693","3053.21571335118","3053.92916719259","18210.4481158603","15796.5505218693","-","0.86744","-2413.89759399102",2.82,"-6807.19","-","-"
"MKR","40.0965784005542","114.573256373516","114.436458841874","77515.969543419","40.0965784005542","31.1676227711645","31.1991052486772","114.573256373516","40.0965784005542","-","0.34996","-74.4766779729613",1020.82,"-76027.28","-","-"
"DIP","1592742.7145317","2185138.72782288","2183309.93017342","60205.1578345697","1592742.7145317","397466.748241726","397707.437028928","2185138.72782288","1592742.7145317","-","0.72890","-592396.013291183",0.01977102,"-11712.27","-","-"
"MANA","191812.599972185","326157.896828413","326133.718456099","339548.036838404","191812.599972185","190255.057865449","190258.935433276","326157.896828413","191812.599972185","-","0.58810","-134345.296856228",0.921998,"-123866.10","-","-"
"QNT","1454.67037771213","3833.61700878528","3829.07717366964","292204.368298435","1454.67037771213","1097.2938531376","1097.60310888513","3833.61700878528","1454.67037771213","-","0.37945","-2378.94663107315",105.15,"-250146.24","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",15.28,"-","0.0342060091783252","0.52"
"SNX","41508.2469152111","46184.7945535673","45760.4503573106","227744.329045119","41508.2469152111","827.590218687994","832.7890221976","46184.7945535673","41508.2469152111","-","0.89874","-4676.54763835624",2.86,"-13374.93","-","-"
"LPL","58458.2091214535","79684.1765143617","78516.8268333875","333343.712039265","58458.2091214535","8643.79899991831","8660.51244509961","79684.1765143617","58458.2091214535","-","0.73362","-21225.9673929082",3.04,"-64526.94","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02681896,"-","8.08840690228178","0.22"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.054694,"-","-","-"
"GTC","14505.7086811462","14749.9712597099","14748.3783495132","21148.1070554796","3953.23585439786","-","-","14749.9712597099","14505.7086811462","-","0.98344","-244.262578563649",2.69,"-657.07","-","-"
"1INCH","2000.89666997739","1970.73765113616","1970.73765113616","-","-","-","-","1970.73765113616","1970.73765113616","-","1.00000","-",0.70313,"-","30.1590188412283","21.21"
"RLC","73761.55242134","79815.240203231","79814.415314911","20005.462036805","10415.9477757","15294.710182425","15294.710182425","79815.240203231","73761.55242134","-","0.92415","-6053.687781891",0.994675,"-6021.45","-","-"
"TEMP","397849.468308378","479153.607220446","478917.81154993","36560.2478122017","397849.468308378","-","-","479153.607220446","397849.468308378","-","0.83032","-81304.1389120679",0.04640708,"-3773.09","-","-"
"REN","347587.698909392","395697.284010079","395173.188995275","104677.797488343","347587.698909392","5292.02535273668","5295.88906476736","395697.284010079","347587.698909392","-","0.87842","-48109.5851006861",0.154498,"-7432.83","-","-"
"COMP","38.4223741583271","37.1586757650452","37.1586757650452","-","-","-","-","37.1586757650452","37.1586757650452","-","1.00000","-",57.82,"-","1.26369839328185","73.07"
"SFI","41.7436622501923","41.9911833646989","41.9911833646989","-","-","-","-","41.9911833646989","41.7436622501923","-","0.99411","-0.247521114506582",54.37,"-13.46","-","-"
"UNI","4059.9266658645","9705.64627126495","9698.69264273727","57964.1430676128","4059.9266658645","3773.73829142225","3774.97364265639","9705.64627126495","4059.9266658645","-","0.41831","-5645.71960540045",7.35,"-41496.04","-","-"
"ZCN","313030.579605885","894880.950503995","893527.490003532","130296.143562296","313030.579605885","18477.4286944479","18487.9790377409","894880.950503995","313030.579605885","-","0.34980","-581850.37089811",0.216614,"-126036.94","-","-"
"GRT","129808.159026856","134204.990039005","134195.488664344","28406.091209156","129808.159026856","13822.5594386915","13822.5594386915","134204.990039005","129808.159026856","-","0.96724","-4396.83101214864",0.111705,"-491.15","-","-"
"renBTC","0.43347824","0.43348118","0.43348118","-","-","0.01780006","0.01780006","0.43348118","0.43347824","-","0.99999","-0.00000294",22347,"-0.07","-","-"
"RARI","7379.67208745257","7545.08243894616","7541.72005842373","20880.7958618067","3777.89991914756","-","-","7545.08243894616","7379.67208745257","-","0.97808","-165.410351493581",2.9,"-479.69","-","-"
