"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","86902711.7408347","43825826.8347891","43522912.4953869","-","-","1619204.26722826","1625980.85347483","43825826.8347891","-","43825826.8347891","0.00000","-",0.501585,"-","43076884.9060456","21606719.32"
"LINK","2042173.02625164","3740861.31284555","3726286.4897891","27711375.4639927","2042173.02625164","1079584.8231012","1083134.61564096","3740861.31284555","2042173.02625164","-","0.54591","-1698688.28659391",6.84,"-11619027.88","-","-"
"DAI","4851631.2224258","5915323.62388483","5885222.66063278","8750615.03058628","4392792.90379033","2519097.11732549","2526918.52817512","5915323.62388483","4851631.2224258","-","0.82018","-1063692.40145903",1.001,"-1064756.09","-","-"
"wBTC","170.51307008","336.31531381","336.20101103","7764124.70163344","170.51307008","119.20463168","119.20714322","336.31531381","170.51307008","-","0.50700","-165.80224373",22787,"-3778135.73","-","-"
"ICHI","717685.936697187","1097021.83570758","1096396.99990003","2395023.54843067","247024.693976298","151669.717236063","151689.02129771","1097021.83570758","717685.936697187","-","0.65421","-379335.899010397",4.92,"-1866332.62","-","-"
"ETH","8863.29769010942","17169.9049985728","17129.8964089167","26616187.0156023","8863.29769010942","5650.41030637574","5658.80065891384","17169.9049985728","8863.29769010942","-","0.51621","-8306.60730846336",1505.89,"-12508836.88","-","-"
"USDC","1366003.283523","2636685.028608","2630868.554451","2736731.40311773","1366003.283522","2247363.360705","2247709.168051","2636685.028608","1366003.283523","-","0.51808","-1270681.745085",1,"-1270681.75","-","-"
"vBNT","3417434.59826234","3470923.27039055","3454229.51653329","1256488.44042501","1546743.37095044","475344.0299168","476950.639200727","3470923.27039055","3417434.59826234","-","0.98459","-53488.6721282108",0.40778,"-21811.61","-","-"
"WOO","5991019.26687366","7986639.36177048","7981723.78372492","1802936.47557275","4832429.69640758","2265932.49671944","2266363.76758376","7986639.36177048","5991019.26687366","-","0.75013","-1995620.09489682",0.188616,"-376405.88","-","-"
"wNXM","26418.3356187263","69697.181930418","69216.0944681528","611080.939711718","20846.9176662933","878.162169911185","879.728387074637","69697.181930418","26418.3356187263","-","0.37904","-43278.8463116917",14.94,"-646585.96","-","-"
"TRAC","202227.18906291","219578.105547761","218446.670356753","92881.2735727394","202227.18906291","-","-","219578.105547761","202227.18906291","-","0.92098","-17350.9164848507",0.226518,"-3930.29","-","-"
"HOT","239921491.401495","308454185.662664","308407908.121308","59936.962572042","13600512.0945928","-","-","308454185.662664","239921491.401495","-","0.77782","-68532694.2611686",0.00212805,"-145841.00","-","-"
"PHTR","15101137.6815953","15177939.2308729","15176812.0537952","24114.6859896366","370341.242023389","-","-","15177939.2308729","15101137.6815953","-","0.99494","-76801.5492775765",0.03104865,"-2384.58","-","-"
"BAT","769549.98689358","2352731.07742048","2350436.36286761","598845.739308527","769549.98689358","172336.331477848","172448.807264385","2352731.07742048","769549.98689358","-","0.32709","-1583181.0905269",0.39148,"-619783.73","-","-"
"BORING","36932440.9219464","43964584.2536225","43960684.4244356","25883.4555162777","1208519.75123031","-","-","43964584.2536225","36932440.9219464","-","0.84005","-7032143.33167613",0.0109878,"-77267.78","-","-"
"MFG","42171060.887235","45199105.5714997","45197471.3712304","26407.1554886952","1338302.27729774","-","-","45199105.5714997","42171060.887235","-","0.93301","-3028044.68426469",0.00966477,"-29265.36","-","-"
"ENJ","1514903.54622733","5234000.4385783","5226387.94835554","1797239.92869157","1512306.48173327","356645.823565345","356997.445021724","5234009.57398104","1512306.48173327","-","0.28894","-3721703.09224777",0.606226,"-2256193.18","-","-"
"REQ","1636941.10805917","1871314.37808886","1859222.12880398","391168.294336737","1636941.10805917","164024.663179135","164187.927795874","1871314.37808886","1636941.10805917","-","0.87475","-234373.270029692",0.120877,"-28330.34","-","-"
"LQTY","197136.551518059","202659.170676278","202577.243861729","56167.0676380323","30109.9727414186","-","-","202659.170676278","197136.551518059","-","0.97275","-5522.61915821835",0.953571,"-5266.21","-","-"
"MTA","503.807611050656","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.807611050656","-","0.99971","-0.144518758467523",0.146051,"-0.02","-","-"
"INDEX","8872.60765591288","10485.1307412528","10351.1708818023","61592.7690888658","8872.60765591288","-","-","10485.1307412528","8872.60765591288","-","0.84621","-1612.52308533989",3.41,"-5498.70","-","-"
"YFI","5.94207733522269","5.93670500042614","5.93664548514636","39651.0448969661","3.10749992963137","5.32661097700123","5.32661097700123","5.93670500042614","5.93670500042614","-","1.00000","-",6506.67,"-","0.00537233479655341","34.96"
"AMP","30211250.9845878","49820364.5418621","49684173.9281746","561148.960028258","30211250.9845878","46719821.7207639","46832495.057497","49820364.5418621","30211250.9845878","-","0.60640","-19609113.5572743",0.00926352,"-181649.42","-","-"
"MATIC","201722.676460231","938366.014949961","937316.908263997","350899.074301387","201722.676460231","86075.3087705078","86102.3573491977","938366.014949961","201722.676460231","-","0.21497","-736643.33848973",0.881557,"-649393.09","-","-"
"ANKR","277711.570043336","283054.173882213","283031.016951922","17016.7718043512","277711.570043336","-","-","283054.173882213","277711.570043336","-","0.98113","-5342.60383887731",0.02953543,"-157.80","-","-"
"ROOK","117.088123518593","117.093834900634","117.093834900634","-","-","27.1053559953289","27.1053559953289","117.093834900634","117.088123518593","-","0.99995","-0.00571138204110984",30.15,"-0.17","-","-"
"RAIL","-","-","-","-","-","-","-","-","-","-","-","-",0.889261,"-","-","-"
"AAVE","709.930837355896","830.055666639541","829.329251062451","129575.494275203","709.930837355896","58.7706811729512","58.7987429505843","830.055666639541","709.930837355896","-","0.85528","-120.124829283644",91.86,"-11034.67","-","-"
"MPH","15704.3092554395","17872.0100379195","17863.3530861035","85031.8811411444","15704.3092554395","2713.66707297255","2714.31892735904","17872.0100379195","15704.3092554395","-","0.87871","-2167.70078248007",2.69,"-5831.12","-","-"
"MKR","40.0965784005542","114.573256373516","114.436458841874","77515.969543419","40.0965784005542","31.1676227711645","31.1991052486772","114.573256373516","40.0965784005542","-","0.34996","-74.4766779729613",967.27,"-72039.06","-","-"
"DIP","1459666.87569743","2185346.77545543","2183309.93017342","65704.0829628994","1459666.87569743","397466.748241726","397707.437028928","2185346.77545543","1459666.87569743","-","0.66793","-725679.899758009",0.02260849,"-16406.53","-","-"
"MANA","189996.864012008","326173.951393619","326133.718456099","342846.685944928","189996.864012008","190255.057865449","190258.935433276","326173.951393619","189996.864012008","-","0.58250","-136177.087381612",0.91729,"-124913.88","-","-"
"QNT","1377.95620986048","3612.52552077491","3608.01906328365","273976.355216573","1377.95620986048","1097.2938531376","1097.60310888513","3612.52552077491","1377.95620986048","-","0.38144","-2234.56931091443",101.61,"-227054.59","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",20.04,"-","0.0342060091783252","0.69"
"SNX","40621.5335540152","46028.6465050167","45594.1966479","231138.339527076","40621.5335540152","661.336509277335","665.767003368149","46028.6465050167","40621.5335540152","-","0.88253","-5407.11295100153",2.86,"-15464.34","-","-"
"LPL","49528.8430565328","79401.6907485572","78018.1150712579","306663.327115073","49528.8430565328","8145.08723778873","8160.86090652705","79401.6907485572","49528.8430565328","-","0.62378","-29872.8476920244",3.12,"-93203.28","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02549799,"-","8.08840690228178","0.21"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.059101,"-","-","-"
"GTC","14660.5574747298","14749.9712597099","14748.3783495132","20356.4843336425","4108.08464798149","-","-","14749.9712597099","14660.5574747298","-","0.99394","-89.4137849800241",2.47,"-220.85","-","-"
"1INCH","2000.89666997739","1970.73765113616","1970.73765113616","-","-","-","-","1970.73765113616","1970.73765113616","-","1.00000","-",0.668078,"-","30.1590188412283","20.15"
"RLC","22678.821614803","24362.10009743","24361.848315794","19694.8694616385","10580.443569331","15294.710182425","15294.710182425","24362.10009743","22678.821614803","-","0.93091","-1683.278482627",0.933206,"-1570.85","-","-"
