"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","83154564.8429291","42244455.2348408","41996472.1630731","-","-","2636459.5332654","2644867.51726248","42244473.0429862","-","42244473.0429862","0.00000","-",0.450431,"-","40910091.7999429","18427173.56"
"LINK","2229531.75782152","4089721.71509253","4074233.99398352","30066839.8634027","2229531.75782152","1319435.60875355","1323777.61422408","4089721.71509253","2229531.75782152","-","0.54515","-1860189.957271",6.17,"-11477372.04","-","-"
"DAI","5523552.96673008","7021221.21275974","6991136.3812146","9223356.80360353","4155369.83531558","2778137.86588912","2786870.04016254","7021221.21275974","5523552.96673008","-","0.78669","-1497668.24602966",0.999606,"-1497078.16","-","-"
"wBTC","174.49354556","337.98696174","337.91285509","7628264.01833197","174.49354556","119.22157006","119.22404271","337.98696174","174.49354556","-","0.51627","-163.49341618",19873.58,"-3249199.49","-","-"
"ICHI","647635.642624306","919064.373703177","918686.590968459","2353843.38027798","251051.879803113","151669.717236063","151689.02129771","919064.373703177","647635.642624306","-","0.70467","-271428.731078871",4.32,"-1172572.12","-","-"
"ETH","9854.08953154998","17478.2037459537","17441.3039911186","23241163.1288759","9854.08953154998","7002.60882528025","7012.91831343717","17478.2037459537","9854.08953154998","-","0.56379","-7624.11421440375",1073.01,"-8180750.79","-","-"
"USDC","1129986.397937","2466487.234802","2463834.678353","2043543.58395135","921843.203684","2248363.293233","2248709.168051","2466487.234802","1131135.437022","-","0.45860","-1335351.79778",0.998523,"-1333379.48","-","-"
"vBNT","3944369.45566929","3954301.45455139","3938104.93493521","1210874.96830196","1600065.82902425","504909.696991266","506497.986430396","3954301.45455139","3944369.45566929","-","0.99749","-9931.99888210155",0.356292,"-3538.69","-","-"
"WOO","6174148.19255886","7991180.49758157","7987621.68479604","1748736.62302961","4979660.26457853","2278903.77974943","2279340.03595341","7991204.16061104","6157279.83297877","-","0.77051","-1833924.32763227",0.16133,"-295867.01","-","-"
"wNXM","11952.8380675829","22267.9260853168","22135.1616310802","394534.609756288","11952.8380675829","2983.45798655004","2988.2792953679","22268.4568184924","11877.777232751","-","0.53339","-10390.6795857414",15.18,"-157730.52","-","-"
"TRAC","305438.958053021","315435.867254619","314801.815209645","126313.877065239","305438.958053021","-","-","315435.867254619","305438.958053021","-","0.96831","-9996.90920159734",0.187683,"-1876.25","-","-"
"HOT","239666261.654644","306797980.176687","306755934.769754","29297.0586251783","6952218.95665215","-","-","306797980.176687","239666261.654644","-","0.78119","-67131718.5220424",0.00196075,"-131628.52","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02673884,"-1538.66","-","-"
"BAT","727149.395607801","2248504.6347201","2246463.91759191","594563.4740929","727149.395607801","172336.331477848","172448.807264385","2248504.6347201","727149.395607801","-","0.32339","-1521355.2391123",0.373353,"-568002.54","-","-"
"BORING","36898436.7513423","43963806.058339","43960684.4244356","26596.3714494157","1174515.58062624","-","-","43963806.058339","36898436.7513423","-","0.83929","-7065369.30699666",0.01005736,"-71058.96","-","-"
"MFG","42228291.8115537","45198893.3445151","45197471.3712304","25318.3605619552","1395533.2016164","-","-","45198893.3445151","42228291.8115537","-","0.93428","-2970601.53296136",0.00793006,"-23557.05","-","-"
"ENJ","1024449.64438636","2728195.56277788","2724653.37709614","1086176.51808136","1024449.64438636","360365.451185407","360720.572115288","2728195.56277788","1024449.64438636","-","0.37550","-1703745.91839152",0.485801,"-827681.47","-","-"
"REQ","1557964.22367399","1834486.40025817","1823556.27993073","382223.16497492","1557964.22367399","297684.409040048","297980.714059763","1834486.40025817","1557964.22367399","-","0.84926","-276522.176584171",0.110611,"-30586.39","-","-"
"LQTY","195039.156314486","202650.262761043","202577.243861729","60326.4948726994","28012.5775378448","-","-","202650.262761043","195039.156314486","-","0.96244","-7611.1064465576",0.939688,"-7152.07","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.125586,"-0.00","-","-"
"INDEX","8969.10670624287","10721.2910194327","10590.0244455934","63690.0031608702","8969.10670624287","-","-","10721.2910194327","8969.10670624287","-","0.83657","-1752.18431318984",3.14,"-5501.86","-","-"
