"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","83638830.8814653","45596127.2295257","45363501.7605882","-","-","4564009.20953192","4578738.44785727","45596127.2295257","-","45596127.2295257","0.00000","-",0.477162,"-","38042703.6519396","18152532.56"
"LINK","2673357.19358428","4781999.655963","4764428.62726657","34120175.7521812","2672470.01338223","1961602.16292237","1967939.03455123","4782003.44542617","2672470.01338223","-","0.55886","-2109533.43204394",6.17,"-13015821.28","-","-"
"DAI","6249424.99474268","7795793.74930633","7767125.88172671","8971188.96078339","4263607.39414105","3056282.0855596","3065901.3740427","7795793.74930633","6249424.99474268","-","0.80164","-1546368.75456365",1.002,"-1549461.49","-","-"
"wBTC","137.78792745","369.37334276","369.32019925","5541138.40145504","137.78792744","166.66356871","166.66777669","369.37334276","137.78792745","-","0.37303","-231.58541531",19246.64,"-4457241.12","-","-"
"ICHI","643572.266131594","839376.425645234","839201.072905803","2204648.17590962","267809.764865045","171890.473014853","171911.33923407","839376.425645234","643572.266131594","-","0.76673","-195804.15951364",3.88,"-759720.14","-","-"
"ETH","10982.0673841572","18889.9693069826","18853.4360205288","24012759.1350418","10971.4287989167","9006.18517889467","9019.72841277772","18889.9874288212","10971.4287989167","-","0.58081","-7918.55862990452",1047,"-8290730.89","-","-"
"USDC","1151258.570402","2457457.878677","2456439.759527","495380.879057882","236435.954872","2289235.958766","2289583.7881","2457457.878677","1151258.570402","-","0.46848","-1306199.308275",1.002,"-1308811.71","-","-"
"vBNT","4449606.93562144","4529271.46832385","4513987.3705535","1255777.08853957","1535869.69069062","635957.246067828","637771.689499997","4529271.46832385","4449606.93562144","-","0.98241","-79664.5327024174",0.330379,"-26319.49","-","-"
"WOO","6488677.48451376","8040545.94311117","8038852.1078869","1653913.79245117","5261644.26039869","2905434.37076682","2905981.34023936","8040545.94311117","6488677.48451376","-","0.80699","-1551868.4585974",0.150631,"-233759.50","-","-"
"wNXM","12511.3575882626","18239.8573230922","18201.4161336896","300646.10852784","12511.3575882626","2894.23522939654","2898.57308272243","18239.8573230922","12511.3575882626","-","0.68594","-5728.4997348296",11.23,"-64331.05","-","-"
"TRAC","917378.148951729","923613.470989893","922862.305102988","213674.435885862","540749.145465728","351.211376693027","351.354133485594","923613.470989893","917378.148951729","-","0.99325","-6235.32203816412",0.182084,"-1135.35","-","-"
"HOT","239746918.853446","306986779.192751","306945354.689006","29577.5180677784","6884870.16072811","-","-","306986779.192751","239746918.853446","-","0.78097","-67239860.3393047",0.00205478,"-138163.12","-","-"
"PHTR","15116269.6938174","15177672.1998951","15176812.0537952","23141.6396410534","385473.254245501","-","-","15177672.1998951","15116269.6938174","-","0.99595","-61402.506077709",0.02848922,"-1749.31","-","-"
"BAT","702424.126925729","2239481.02074445","2237671.06996882","604636.580485629","702424.126925729","208696.370785059","208833.235762212","2239481.02074445","702424.126925729","-","0.31365","-1537056.89381872",0.416955,"-640883.56","-","-"
"BORING","36819976.6802433","43963518.6635695","43960684.4244356","28480.2797080897","1096055.50952724","-","-","43963518.6635695","36819976.6802433","-","0.83751","-7143541.98332622",0.01222077,"-87299.58","-","-"
"MFG","42855343.3325807","45818803.466873","45817471.3712304","24480.4126618809","1443189.54150817","-","-","45818803.466873","42855343.3325807","-","0.93532","-2963460.13429228",0.00800877,"-23733.67","-","-"
"ENJ","1024090.23516221","2528198.55054749","2525337.51702354","995597.526914767","1024090.23516221","398611.977439626","398979.996602087","2528198.55054749","1024090.23516221","-","0.40507","-1504108.31538528",0.473517,"-712220.86","-","-"
"REQ","1507970.73264242","1699737.15675189","1693752.42775522","325511.623804672","1507970.73264242","658923.39353009","660230.202273088","1699737.15675189","1507970.73264242","-","0.88718","-191766.424109471",0.105515,"-20234.23","-","-"
"LQTY","196162.747519527","202639.866738768","202577.243861729","57961.1444923966","29136.1687428865","-","-","202639.866738768","196162.747519527","-","0.96804","-6477.11921924052",0.947355,"-6136.13","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.124608,"-0.00","-","-"
"INDEX","15347.4677989902","18032.1384718499","17846.4067389904","105218.290341597","15347.4677989902","-","-","18032.1384718499","15347.4677989902","-","0.85112","-2684.67067285962",3.24,"-8698.33","-","-"
"YFI","6.50945322935959","6.49481114590283","6.49481114590283","-","-","5.25634329372436","5.25634329372436","6.49481114590283","6.49481114590283","-","1.00000","-",5382.12,"-","0.0146420834567531","78.81"
"AMP","4530833.1209069","4813337.69086576","4802483.3148028","57766.5449277559","2953123.29978155","431881.133291834","432180.059544308","4813337.69086576","4530833.1209069","-","0.94131","-282504.569958855",0.00928733,"-2623.71","-","-"
"MATIC","208760.451119708","296632.007693736","296410.726761303","203127.718710363","208760.451119708","122115.187226474","122160.652080096","296632.007693736","208760.451119708","-","0.70377","-87871.5565740283",0.470868,"-41375.90","-","-"
"ANKR","569814.200655007","569872.470876762","569872.470876762","-","-","-","-","569872.470876762","569814.200655007","-","0.99990","-58.2702217547603",0.02756753,"-1.61","-","-"
"ROOK","237.089365823513","237.098576670159","237.098576670159","-","-","132.680300391427","132.680300391427","237.098576670159","237.089365823513","-","0.99996","-0.00921084664603686",30.37,"-0.28","-","-"
"RAIL","24800.2865779095","24810.0079589461","24810.0079589461","-","-","24810.0079589461","24810.0079589461","24810.0079589461","24800.2865779095","-","0.99961","-9.72138103663376",0.92235,"-8.97","-","-"
"AAVE","544.854439016706","571.899196559281","571.700275203315","63761.0007835383","544.854439016706","171.404737456875","171.448631910641","571.899196559281","544.854439016706","-","0.95271","-27.0447575425756",56.57,"-1529.92","-","-"
"MPH","23160.2061181114","24302.9752625797","24298.5671209713","89753.2477392218","19309.4911811007","5359.28029135708","5359.93245719936","24302.9752625797","23160.2061181114","-","0.95298","-1142.76914446825",2.15,"-2456.95","-","-"
"MKR","40.3908110036104","112.927140351272","112.81285804545","75131.6974037494","40.3908110036104","48.5453295545847","48.5940521909399","112.927140351272","40.3908110036104","-","0.35767","-72.5363293476613",890.72,"-64609.56","-","-"
"DIP","2008873.61677758","2920201.16828897","2918360.36369587","93000.3928259693","2008873.61677758","397466.748241726","397707.437028928","2920201.16828897","2008873.61677758","-","0.68792","-911327.551511394",0.0219179,"-19974.39","-","-"
"MANA","188629.071479018","192229.933746532","192223.142633787","23930.2882133157","13777.2549915624","192223.142633787","192227.069389825","192229.933746532","188629.071479018","-","0.98127","-3600.86226751415",0.830267,"-2989.68","-","-"
"QNT","2091.6270144924","3756.47750819862","3754.79707265805","232449.782988774","2091.6270144924","2102.14807515438","2102.78033486731","3756.47750819862","2091.6270144924","-","0.55681","-1664.85049370623",54.18,"-90201.60","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",19.9,"-","0.0342060091783252","0.68"
"SNX","29665.4932866046","36489.4304971903","36217.6014897485","145176.516983946","29665.4932866046","1554.70766961894","1564.830848795","36489.4304971903","29665.4932866046","-","0.81299","-6823.93721058564",2.29,"-15626.82","-","-"
"LPL","68896.1257446298","99231.3409049302","98626.4393482305","436810.282379812","68896.1257446298","14971.3745023365","15012.5460564696","99231.3409049302","68896.1257446298","-","0.69430","-30335.2151603004",2.68,"-81298.38","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02390396,"-","8.08840690228178","0.19"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.04344757,"-","-","-"
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-","14748.3783495132","14730.9916946729","-","0.99882","-17.3866548403282",2.51,"-43.64","-","-"
"1INCH","3942.26253588739","3912.10351704616","3912.10351704616","-","-","-","-","3912.10351704616","3912.10351704616","-","1.00000","-",0.633814,"-","30.1590188412283","19.12"
"RLC","73762.702003635","79814.415314911","79814.415314911","-","-","15294.710182425","15294.710182425","79814.415314911","73762.702003635","-","0.92418","-6051.713311276",1.22,"-7383.09","-","-"
"TEMP","434922.478428956","479064.777480392","478917.81154993","31923.1466741717","434922.478428956","-","-","479064.777480392","434922.478428956","-","0.90786","-44142.2990514359",0.03447435,"-1521.78","-","-"
"REN","354211.387198984","398462.74760923","398126.749878715","85482.8361382786","354211.387198984","217678.464699253","217801.532574803","398462.74760923","354211.387198984","-","0.88894","-44251.3604102459",0.116476,"-5154.22","-","-"
"COMP","6.51847989156882","5.25013768165581","5.25013768165581","-","-","-","-","5.25013768165581","5.25013768165581","-","1.00000","-",46.27,"-","1.26834220991301","58.69"
"SFI","41.9832953600738","41.9911833646989","41.9911833646989","-","-","-","-","41.9911833646989","41.9832953600738","-","0.99981","-0.00788800462507402",46.85,"-0.37","-","-"
"UNI","3792.89909593223","7438.1644702596","7434.17961311723","39145.5232604831","3792.89909593223","4431.71300239099","4433.21274231262","7438.1644702596","3792.89909593223","-","0.50992","-3645.26537432737",4.95,"-18044.06","-","-"
"ZCN","1088892.65505459","1130741.17044831","1130291.53511839","409442.512199145","1088892.65505459","328934.018921804","329052.608090083","1130741.17044831","1088892.65505459","-","0.96299","-41848.5153937231",0.180523,"-7554.62","-","-"
"GRT","95388.267211398","95218.0567661812","95218.0567661812","-","-","15649.5733123816","15649.5733123816","95218.0567661812","95218.0567661812","-","1.00000","-",0.092363,"-","170.210445216762","15.72"
"renBTC","0.43347824","0.43348118","0.43348118","-","-","0.01780006","0.01780006","0.43348118","0.43347824","-","0.99999","-0.00000294",19299.56,"-0.06","-","-"
"RARI","7538.86550163835","7541.72005842373","7541.72005842373","-","-","-","-","7541.72005842373","7538.86550163835","-","0.99962","-2.85455678538422",2.06,"-5.88","-","-"
"INST","40479.8051637171","69183.7243961842","69183.7243961842","-","-","-","-","69183.7243961842","40479.8051637171","-","0.58511","-28703.9192324671",0.759858,"-21810.90","-","-"
"ARCONA","1561047.47227737","1608152.4488987","1600850.68126244","86079.214962814","688670.046032832","-","-","1608152.4488987","1561047.47227737","-","0.97071","-47104.9766213258",0.065785,"-3098.80","-","-"
"eRSDL","776796.578477885","773611.751759205","773611.751759205","-","-","240362.86038046","240362.86038046","773611.751759205","773611.751759205","-","1.00000","-",0.00626707,"-","3184.82671868013","19.96"
"PLR","325250.648539714","325282.993495684","325282.993495684","-","-","-","-","325282.993495684","325250.648539714","-","0.99990","-32.3449559702285",0.0037554,"-0.12","-","-"
"LRC","24694.6548157453","24621.2077358157","24621.2077358157","-","-","16915.9267431963","16915.9267431963","24621.2077358157","24621.2077358157","-","1.00000","-",0.377417,"-","73.4470799295996","27.72"
"KTN","1600.24881007521","1600.36417414622","1600.36417414622","-","-","1600.36417414622","1600.36417414622","1600.36417414622","1600.24881007521","-","0.99993","-0.115364071018972",0.523479,"-0.06","-","-"
"DDX","27094.7031154411","28239.2066540959","28195.1040961818","25645.7014275274","15839.1920651817","14565.6820612335","14587.3851762957","28239.2066540959","27094.7031154411","-","0.95947","-1144.50353865475",0.758047,"-867.59","-","-"
"MLN","36.6211854274953","36.6219315209515","36.6219315209515","-","-","-","-","36.6219315209515","36.6211854274953","-","0.99998","-0.000746093456179846",24.03,"-0.02","-","-"
"IDLE","385671.396763496","385802.885953133","385802.885953133","-","-","375551.320587514","375551.320587514","385802.885953133","385671.396763496","-","0.99966","-131.489189636377",0.217968,"-28.66","-","-"
"SATA","496728.127005164","531663.604426439","531500.012319443","36609.051370583","496728.127005164","430653.668847919","430753.357111131","531663.604426439","496728.127005164","-","0.93429","-34935.4774212758",0.03557063,"-1242.68","-","-"
"USDT","1684888.711152","2805462.846061","2805462.846061","-","-","2591114.551862","2591114.551862","2805462.846061","1684888.711152","-","0.60057","-1120574.134909",1.003,"-1123935.86","-","-"
"OCEAN","869849.76611045","869861.788359274","869861.788359274","-","-","108715.639971293","108715.639971293","869861.788359274","869849.76611045","-","0.99999","-12.0222488242226",0.166671,"-2.00","-","-"
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-","16564.3628184903","16564.3628184903","-","1.00000","-1.10000000000000e-17",0.01475364,"-0.00","-","-"
"NDX","144.572504629112","144.580325976102","144.580325976102","-","-","113.751340014564","113.751340014564","144.580325976102","144.572504629112","-","0.99995","-0.00782134698981514",0.446348,"-0.00","-","-"
"FXS","1011.0601031778","1009.84810251636","1009.84810251636","-","-","-","-","1009.84810251636","1009.84810251636","-","1.00000","-",4.8,"-","1.21200066144538","5.82"
"SHIBGF","97482886979080.7","103051905725773","102982705733359","38179.3371202594","20788604607347.1","12648316590951.4","12656156601405.3","103051905725773","10242927938233","-","0.99396","-622626343443.38",8.87563e-10,"-552.62","-","-"
"DATA","96794.0692356212","113309.551033847","113309.551033847","-","-","-","-","113309.551033847","96794.0692356212","-","0.85424","-16515.4817982259",0.02680235,"-442.65","-","-"
"WXT","97010.5118625974","96697.928676","96697.928676","-","-","-","-","96697.928676","96697.928676","-","1.00000","-",0.01021009,"-","312.583186597439","3.19"
"APW","70072.9939446789","70039.7094628089","70039.7094628089","-","-","65190.7507771007","65190.7507771007","70039.7094628089","70039.7094628089","-","1.00000","-",0.116427,"-","33.2844818700377","3.88"
"rETH","0.000276698179471489","-","-","-","-","-","-","-","-","-","-","-",1064.43,"-","-","-"
"RPL","6265.71859333249","9612.66029763926","9607.79315073246","55677.1172589435","2513.98034810916","4167.67348189716","4169.4067914432","9612.66029763926","6265.71859333249","-","0.65182","-3346.94170430676",10.49,"-35109.42","-","-"
"wstETH","17.8732775933464","17.8582334485353","17.8582334485353","-","-","-","-","17.8582334485353","17.8582334485353","-","1.00000","-",1087.18,"-","0.0150441448110682","16.36"
"xSUSHI","965.521076079836","965.897284312077","965.897284312077","-","-","-","-","965.897284312077","965.521076079836","-","0.99961","-0.376208232241107",1.27,"-0.48","-","-"
