"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","bnTKN:TKN Value","Base Token Surplus/Deficit","Implied IL"
"MPH","39156.7205869894","41060.3764113115","41055.7609847961","49432.8044387084","8761.01203341025","3183.07204887136","3183.36721965026","1.00011241848658","-1903.65582432212","0.95364"
"MKR","129.591391489563","364.258533853409","363.889904088814","26590.4918417409","13.8654582788404","346.516141121316","346.861384835001","1.00101302553452","-234.667142363845","0.35577"
"DIP","2858142.09733474","4126540.75413923","4124043.41062241","113284.929884685","2400178.92632849","2205747.06633073","2206692.20889829","1.00060555703909","-1268398.65680449","0.69262"
"MANA","188137.780375033","192497.878601772","192491.078023053","25312.93900623","13023.4451618527","191702.021059334","191705.926171514","1.0000353293191","-4360.09822673973","0.97735"
"QNT","2829.82231669205","5133.75789094088","5131.84862770439","244053.423039487","2074.27920055978","3170.83352213402","3171.6896589286","1.00037204200182","-2303.93557424883","0.55122"
"NMR","0.106534029339237","-","-","-","-","-","-","-","-",
"SNX","29983.3387416682","37157.9182272309","36903.4951191989","132103.228265411","27657.1299728117","18709.5690500698","18820.3589762412","1.00689428215973","-7174.57948556271","0.80692"
"LPL","181978.651608488","244069.84009719","243183.58532778","577044.74446064","102798.817506237","187088.725666767","187682.647063296","1.00364438565299","-62091.1884887019","0.74560"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","1.00000000000000e-18","8.08840690228178","1.00013"
"LYRA","1271012.19126257","1270456.96552766","1270456.96552766","-","-","1270456.96552766","1270456.96552766","1.00000000000000e-18","555.225734915034","1.00044"
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-","1.00000000000000e-18","-17.3866548403282","0.99882"
"1INCH","3942.26253588739","3912.10351704616","3912.10351704616","-","-","-","-","1.00000000000000e-18","30.1590188412283","1.00771"
"RLC","64519.327398757","64519.705132486","64519.705132486","-","-","-","-","1.00000000000000e-9","-0.377733729","0.99999"
"TEMP","532807.389116989","586891.625549674","586711.580850327","39107.8623788411","532807.389116989","139271.123643923","139305.579393851","1.00030687088038","-54084.2364326849","0.90785"
"REN","565766.737400915","632221.94278304","631733.933180329","133685.25186104","565766.737400915","455262.721769966","455516.32684049","1.00077249230583","-66455.2053821244","0.89489"
"COMP","27.7003254507982","26.4812677373587","26.4812677373587","-","-","21.2311300557029","21.2311300557029","1.00000000000000e-18","1.21905771343952","1.04603"
"SFI","41.9832953600738","41.9911833646989","41.9911833646989","-","-","-","-","1.00000000000000e-18","-0.00788800462507402","0.99981"
"UNI","5420.84320510622","10371.6412967716","10366.3383961675","31774.5395591079","3060.0987398184","3923.27271057329","3924.50641565574","1.00051155001906","-4950.79809166537","0.52266"
"ZCN","1241084.37524878","1295142.39928746","1294668.25812399","55211.9535948772","154876.67992304","493310.741927405","493473.391299214","1.00036622598916","-54058.0240386778","0.95826"
"GRT","113817.920642556","113647.090136772","113647.090136772","-","-","43017.161728805","43017.161728805","1.00000000000000e-18","170.83050578455","1.00150"
"renBTC","0.34391223","0.34391245","0.34391245","-","-","0.01780006","0.01780006","1.00000000000000e-8","-2.20000000000000e-7","1.00000"
"RARI","7538.86550163835","7541.72005842373","7541.72005842373","-","-","-","-","1.00000000000000e-18","-2.85455678538422","0.99962"
"INST","40479.8051637171","69183.7243961842","69183.7243961842","-","-","-","-","1.00000000000000e-18","-28703.9192324671","0.58511"
