"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85014854.6476689","43465211.0312789","43198183.8042681","-","-","3072998.91221858","3084170.49902289","43465211.0312789","-","43465211.0312789","0.00000","-",0.469294,"-","41549643.61639","19498998.45"
"LINK","2164694.05380209","3939145.63154849","3924165.51000445","28800207.9871543","2164694.05380209","1224828.57505377","1228854.73502065","3939145.63154849","2164694.05380209","-","0.54953","-1774451.57774639",6.32,"-11214533.97","-","-"
"DAI","5617741.70398481","7016457.2313132","6985330.67095542","9015343.83740112","4254132.02302905","2778137.86588912","2786870.04016254","7016457.2313132","5617741.70398481","-","0.80065","-1398715.52732839",0.996667,"-1394053.61","-","-"
"wBTC","174.20353125","337.88045226","337.80004859","7645118.77061363","174.20353125","119.20463168","119.20714322","337.88045226","174.20353125","-","0.51558","-163.67692101",20813,"-3406607.76","-","-"
"ICHI","645838.13210146","923050.999494863","922648.346279505","2373206.39364048","249035.50630072","151669.717236063","151689.02129771","923050.999494863","645838.13210146","-","0.69968","-277212.867393403",4.54,"-1258546.42","-","-"
"ETH","9595.47089641256","17483.5749552317","17445.7123439449","24403416.2504543","9595.47089641256","6065.41012048066","6074.42264366011","17483.5749552317","9595.47089641256","-","0.54883","-7888.10405881917",1205.5,"-9509109.44","-","-"
"USDC","1162503.744261","2462123.251409","2458670.458924","2445068.81822456","1162503.74426","2247363.360705","2247709.168051","2462123.251409","1162503.744261","-","0.47215","-1299619.507148",0.998839,"-1298110.65","-","-"
"vBNT","3812430.43793525","3867968.74612639","3851603.78282064","1247245.64679531","1553973.55908357","478965.726400027","480502.03260448","3867968.74612639","3812430.43793525","-","0.98564","-55538.3081911412",0.371423,"-20628.21","-","-"
"WOO","5993930.27259162","7981103.34267905","7977149.97546722","1802676.04165794","4831193.37258868","2266646.32280504","2267077.92587066","7981103.34267905","5993930.27259162","-","0.75102","-1987173.07008743",0.178056,"-353828.09","-","-"
"wNXM","12389.5506596749","23363.9202098648","23213.5331325583","404323.019500457","12389.5506596749","2983.45798655004","2988.2792953679","23363.9202098648","12389.5506596749","-","0.53029","-10974.3695501899",15.36,"-168566.32","-","-"
