"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85301637.0733583","45074157.2848663","44817667.0373654","-","-","2747536.53574555","2756332.95978367","45074158.4847451","-","45074158.4847451","0.00000","-",0.499683,"-","40227478.5886132","20100987.18"
"LINK","2556463.49408004","4600759.09634216","4583573.23578333","33150984.3557806","2556463.49408004","1616568.05667545","1621776.39320205","4600759.09634216","2556463.49408004","-","0.55566","-2044295.60226212",6.49,"-13267478.46","-","-"
"DAI","6210058.5966748","7618907.27709892","7587830.69738969","8768963.13078113","4369034.05502973","2889533.25867403","2898615.53415506","7618907.27709892","6210058.5966748","-","0.81509","-1408848.68042411",1.001,"-1410257.53","-","-"
"wBTC","139.72261804","375.65279536","375.57411028","6097755.43287243","139.72261803","162.69796778","162.70228184","375.65279536","139.72261804","-","0.37195","-235.93017732",21674,"-5113550.66","-","-"
"ICHI","654607.805490021","919015.075581904","918686.590968459","2289795.09266171","258024.042668828","151669.717236063","151689.02129771","919015.075581904","654607.805490021","-","0.71229","-264407.270091883",4.47,"-1181900.50","-","-"
"ETH","9895.14601267546","17950.3161520228","17912.8129459228","24353887.7321414","9895.49412114361","7819.49750335746","7831.12042894907","17950.3161520228","9895.49412114361","-","0.55127","-8054.82203087919",1221.83,"-9841623.20","-","-"
"USDC","1180261.872223","2465771.205994","2463834.678353","1935696.07032869","972118.67797","2278333.20427","2278680.544279","2465771.205994","1180261.872223","-","0.47866","-1285509.333771",1.001,"-1286794.84","-","-"
"vBNT","3938966.29990766","3983770.41584454","3968016.29855304","1235801.96447652","1566308.5866509","498118.340411393","499679.598870936","3983770.41584454","3938966.29990766","-","0.98875","-44804.1159368847",0.387407,"-17357.43","-","-"
"WOO","6062511.21402905","8009969.68370686","8006779.83359465","1788032.40757398","4869260.09112911","2300151.34094683","2300591.79231296","8009969.68370686","6062511.21402905","-","0.75687","-1947458.46967781",0.184071,"-358470.63","-","-"
"wNXM","11302.1958353126","22081.2645613299","21955.3613212865","412104.678443013","11302.1958353126","2983.45798655004","2988.2792953679","22081.2645613299","11302.1958353126","-","0.51185","-10779.0687260173",18.46,"-198981.61","-","-"
"TRAC","310712.588909263","315220.320877842","314801.815209645","124024.029454612","310712.588909263","-","-","315220.320877842","310712.588909263","-","0.98570","-4507.73196857973",0.198968,"-896.89","-","-"
"HOT","239602372.737261","306797823.301414","306755934.769754","29567.0642206696","6888330.03926894","-","-","306797823.301414","239602372.737261","-","0.78098","-67195450.5641532",0.00217113,"-145890.06","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02567093,"-1477.21","-","-"
"BAT","704198.185978253","2248504.6347201","2246463.91759191","613872.401275395","704198.185978253","172336.331477848","172448.807264385","2248504.6347201","704198.185978253","-","0.31319","-1544306.44874185",0.434256,"-670624.34","-","-"
"BORING","36857071.9115519","43963806.058339","43960684.4244356","27565.1581393751","1133150.74083583","-","-","43963806.058339","36857071.9115519","-","0.83835","-7106734.14678708",0.01229221,"-87357.47","-","-"
"MFG","42695445.0673709","45698909.0751881","45697471.3712304","25318.3605619552","1395533.2016164","-","-","45698909.0751881","42695445.0673709","-","0.93428","-3003464.00781712",0.00912193,"-27397.39","-","-"
"ENJ","1004423.30738847","2721789.32589865","2718291.86401424","1106300.24925887","1004423.30738847","318801.188001494","319100.12614308","2721789.32589865","1004423.30738847","-","0.36903","-1717366.01851019",0.554946,"-953045.40","-","-"
"REQ","1594957.51574305","1833569.07534414","1823556.27993073","372985.714796552","1594957.51574305","554233.398013064","555436.196891157","1833569.07534414","1594957.51574305","-","0.86986","-238611.55960109",0.115317,"-27515.97","-","-"
"LQTY","196113.953200626","202648.137276845","202577.243861729","58091.8220460246","29087.3744239849","-","-","202648.137276845","196113.953200626","-","0.96776","-6534.18407621887",0.980637,"-6407.66","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.128883,"-0.00","-","-"
"INDEX","9700.92426316118","10711.6314830098","10590.0244455934","58768.4327062791","9700.92426316118","-","-","10711.6314830098","9700.92426316118","-","0.90564","-1010.70721984862",2.98,"-3011.91","-","-"
"YFI","6.56221453998047","6.54757552815332","6.54757552815332","-","-","5.25634329372436","5.25634329372436","6.54757552815332","6.54757552815332","-","1.00000","-",6502.76,"-","0.0146390118271467","95.19"
"AMP","29117398.3803401","48399694.0393145","48282875.755817","181314.957893375","9862250.2099432","46719821.7207639","46832495.057497","48399694.0393145","29117398.3803401","-","0.60160","-19282295.6589743",0.00922713,"-177920.25","-","-"
"MATIC","172510.875872385","270723.30708858","270475.201456775","207053.983853927","172510.875872385","101191.83052275","101229.498454752","270723.30708858","172510.875872385","-","0.63722","-98212.4312161947",0.5999,"-58917.64","-","-"
"ANKR","533767.879294021","533821.375968213","533821.375968213","-","-","-","-","533821.375968213","533767.879294021","-","0.99990","-53.4966741919482",0.02963926,"-1.59","-","-"
"ROOK","117.581537048991","117.586090215706","117.586090215706","-","-","31.3423250558504","31.3423250558504","117.586090215706","117.581537048991","-","0.99996","-0.00455316671467156",33.96,"-0.15","-","-"
"RAIL","28982.2306360731","39573.5527049613","39573.5527049613","-","-","39573.5527049613","39573.5527049613","39573.5527049613","28982.2306360731","-","0.73236","-10591.3220688882",0.894017,"-9468.82","-","-"
"AAVE","813.097844117845","907.115755934028","906.617260204524","120920.695516824","813.097844117845","232.817723797626","232.929092938098","907.115755934028","813.097844117845","-","0.89636","-94.0179118161826",74.61,"-7014.68","-","-"
"MPH","17367.0614403159","19002.3187358297","18996.3035941912","86923.3734164164","17367.0614403159","1772.23708646068","1772.44047235883","19002.3187358297","17367.0614403159","-","0.91394","-1635.2572955138",2.46,"-4022.73","-","-"
"MKR","40.0206468311315","114.566289365881","114.436458841874","77635.0781113715","40.0206468311315","31.1676227711645","31.1991052486772","114.566289365881","40.0206468311315","-","0.34932","-74.5456425347493",983.47,"-73313.40","-","-"
"DIP","1477621.51145558","2184832.40035612","2183309.93017342","64862.2432372659","1477621.51145558","397466.748241726","397707.437028928","2184832.40035612","1477621.51145558","-","0.67631","-707210.88890054",0.02218607,"-15690.23","-","-"
"MANA","202916.046507003","240344.3598743","240333.809081034","49162.2675797512","26828.4153895097","190255.057865449","190258.935433276","240344.3598743","202916.046507003","-","0.84427","-37428.3133672972",0.91727,"-34331.87","-","-"
"QNT","1671.08915193258","3757.35363167171","3754.79707265805","247407.618759441","1671.08915193258","1097.2938531376","1097.60310888513","3757.35363167171","1671.08915193258","-","0.44475","-2086.26447973914",73.46,"-153256.99","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",17.35,"-","0.0342060091783252","0.59"
"SNX","35737.6840326176","40064.1976485157","39725.3780201306","184947.330623231","35737.6840326176","827.590218687994","832.7890221976","40064.1976485157","35737.6840326176","-","0.89201","-4326.51361589808",2.56,"-11075.87","-","-"
"LPL","67067.9275878689","98132.6259581645","97175.2031176977","440266.960120075","67067.9275878689","13801.7266604623","13838.8630780603","98132.6259581645","67067.9275878689","-","0.68344","-31064.6983702957",3.07,"-95368.62","-","-"
"PSP","63169.6503469291","63161.5619400268","63161.5619400268","-","-","-","-","63161.5619400268","63161.5619400268","-","1.00000","-",0.02610363,"-","8.08840690228178","0.21"
"LYRA","3731.36814873417","-","-","-","-","-","-","-","-","-","-","-",0.04662694,"-","-","-"
"GTC","14730.9916946729","14748.3783495132","14748.3783495132","-","-","-","-","14748.3783495132","14730.9916946729","-","0.99882","-17.3866548403282",2.7,"-46.94","-","-"
"1INCH","3942.26253588739","3912.10351704616","3912.10351704616","-","-","-","-","3912.10351704616","3912.10351704616","-","1.00000","-",0.690962,"-","30.1590188412283","20.84"
"RLC","73762.702003635","79814.415314911","79814.415314911","-","-","15294.710182425","15294.710182425","79814.415314911","73762.702003635","-","0.92418","-6051.713311276",1.002,"-6063.82","-","-"
"TEMP","451360.276601936","479078.541958311","478917.81154993","32220.0237923305","451360.276601936","-","-","479078.541958311","451360.276601936","-","0.94214","-27718.2653563745",0.03551369,"-984.38","-","-"
"REN","332270.642444511","408141.31963092","407686.496373665","96628.6358616196","332270.642444511","217678.464699253","217801.532574803","408141.31963092","332270.642444511","-","0.81411","-75870.6771864093",0.142998,"-10849.36","-","-"
"COMP","6.51847989156882","5.25013768165581","5.25013768165581","-","-","-","-","5.25013768165581","5.25013768165581","-","1.00000","-",52.59,"-","1.26834220991301","66.70"
"SFI","41.9832953600738","41.9911833646989","41.9911833646989","-","-","-","-","41.9911833646989","41.9832953600738","-","0.99981","-0.00788800462507402",48.19,"-0.38","-","-"
"UNI","4172.47074239427","10069.1349957607","10062.998431283","52347.2151520845","4172.47074239427","4076.66275148015","4078.0578031538","10069.1349957607","4172.47074239427","-","0.41438","-5896.66425336646",6.21,"-36618.29","-","-"
"ZCN","574966.540074175","579227.123401765","534881.061213967","188520.341885697","531469.574854029","18477.4286944479","18487.9790377409","535407.839521487","531469.574854029","-","0.99264","-3938.2646674576",0.177186,"-697.81","39558.7005526882","7009.25"
"GRT","114539.559766759","114369.499011232","114369.499011232","-","-","13822.5594386915","13822.5594386915","114369.499011232","114369.499011232","-","1.00000","-",0.103088,"-","170.060755526663","17.53"
"renBTC","0.43347824","0.43348118","0.43348118","-","-","0.01780006","0.01780006","0.43348118","0.43347824","-","0.99999","-0.00000294",21696,"-0.06","-","-"
"RARI","7538.86550163835","7541.72005842373","7541.72005842373","-","-","-","-","7541.72005842373","7538.86550163835","-","0.99962","-2.85455678538422",2.41,"-6.88","-","-"
"INST","40479.8051637171","69183.7243961842","69183.7243961842","-","-","-","-","69183.7243961842","40479.8051637171","-","0.58511","-28703.9192324671",0.76043,"-21827.32","-","-"
"ARCONA","384752.881661917","445300.865041379","441315.243226275","64682.6960766366","384752.881661917","-","-","445300.865041379","384752.881661917","-","0.86403","-60547.9833794615",0.08457,"-5120.54","-","-"
"eRSDL","776796.578477885","773611.751759205","773611.751759205","-","-","240362.86038046","240362.86038046","773611.751759205","773611.751759205","-","1.00000","-",0.00735893,"-","3184.82671868013","23.44"
"PLR","-","-","-","-","-","-","-","-","-","-","-","-",0.00441605,"-","-","-"
"LRC","2303.75094225714","2230.30386232754","2230.30386232754","-","-","-","-","2230.30386232754","2230.30386232754","-","1.00000","-",0.409119,"-","73.4470799295996","30.05"
"KTN","-","-","-","-","-","-","-","-","-","-","-","-",0.572401,"-","-","-"
"DDX","27954.5034405849","28260.0646053505","28195.1040961818","24395.6217295961","16698.9923903255","14565.6820612335","14587.3851762957","28260.0646053505","27954.5034405849","-","0.98919","-305.561164765622",0.746519,"-228.11","-","-"
"MLN","9007.44226769476","10432.5068038484","10432.5068038484","-","-","10395.8848723274","10395.8848723274","10432.5068038484","9007.44226769476","-","0.86340","-1425.06453615362",25.41,"-36210.89","-","-"
"IDLE","10248.0714310951","10251.5653656185","10251.5653656185","-","-","-","-","10251.5653656185","10248.0714310951","-","0.99966","-3.49393452332358",0.235703,"-0.82","-","-"
"SATA","492990.880190175","521474.624710222","521303.178747807","35486.9964945517","492990.880190175","420456.835276282","420554.16316339","521474.624710222","492990.880190175","-","0.94538","-28483.7445200471",0.03707647,"-1056.08","-","-"
"USDT","1676981.68544","2782724.276424","2782724.276424","-","-","2567772.658032","2567772.658032","2782724.276424","1676981.68544","-","0.60264","-1105742.590984",1.001,"-1106848.33","-","-"
"OCEAN","600941.309266842","600949.443018195","600949.443018195","-","-","52319.637230421","52319.637230421","600949.443018195","600941.309266842","-","0.99999","-8.13375135297934",0.178561,"-1.45","-","-"
"BMI","16564.3628184903","16564.3628184903","16564.3628184903","-","-","-","-","16564.3628184903","16564.3628184903","-","1.00000","-1.10000000000000e-17",0.01600633,"-0.00","-","-"
"NDX","390.683675282292","390.689347845296","390.689347845296","-","-","113.751340014564","113.751340014564","390.689347845296","390.683675282292","-","0.99999","-0.00567256300412968",0.348649,"-0.00","-","-"
"FXS","1.21200066144538","-","-","-","-","-","-","-","-","-","-","-",5.21,"-","-","-"
"SHIBGF","74760240140912.6","80212892860519.","80156128901125.1","40670.5428366446","19519685142554.2","-","-","80212892860519.","78318818313626.7","-","0.97639","-1894074546892.38",9.01082e-10,"-1706.72","-","-"
"DATA","96794.0692356212","113309.551033847","113309.551033847","-","-","-","-","113309.551033847","96794.0692356212","-","0.85424","-16515.4817982259",0.03126383,"-516.34","-","-"
"WXT","97010.5118625974","96697.928676","96697.928676","-","-","-","-","96697.928676","96697.928676","-","1.00000","-",0.009609,"-","312.583186597439","3.00"
"APW","4882.24316757821","4848.95868570818","4848.95868570818","-","-","538.187521336703","538.187521336703","4848.95868570818","4848.95868570818","-","1.00000","-",0.133003,"-","33.2844818700377","4.43"
"rETH","0.000276698179471489","-","-","-","-","-","-","-","-","-","-","-",1242.8,"-","-","-"
"RPL","4908.4100439557","7635.01211111793","7630.91968208498","57338.3312894353","2441.51471947394","2190.80001324968","2191.71118469386","7635.01211111793","4908.4100439557","-","0.64288","-2726.60206716223",11.84,"-32282.97","-","-"
"wstETH","17.8732775933464","17.8582334485353","17.8582334485353","-","-","-","-","17.8582334485353","17.8582334485353","-","1.00000","-",1278.25,"-","0.0150441448110682","19.23"
"xSUSHI","965.521076079836","965.897284312077","965.897284312077","-","-","-","-","965.897284312077","965.521076079836","-","0.99961","-0.376208232241107",1.59,"-0.60","-","-"
"FARM","41.7536744414928","41.7538412492737","41.7538412492737","-","-","-","-","41.7538412492737","41.7536744414928","-","1.00000","-0.000166807780835439",46.85,"-0.01","-","-"
"DYDX","845.326961566768","845.524845244393","845.524845244393","-","-","-","-","845.524845244393","845.326961566768","-","0.99977","-0.197883677624888",2.11,"-0.42","-","-"
