"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","87839883.9765813","46120967.5309324","45898980.1615164","-","-","6201148.34536609","6221605.02122216","46005694.1605439","-","46005694.1605439","0.00000","-",0.474952,"-","41834189.8160374","19869232.12"
"LINK","3129004.90362797","5581236.46480898","5561024.26777851","39487439.4492161","3129004.90362797","3037751.42050248","3047341.55812113","5567283.37364696","3121182.3913689","-","0.56063","-2446100.98227806",5.99,"-14652144.88","-","-"
"DAI","7488426.82716727","9380760.56178732","9347649.29732206","9036655.37286175","4230031.21900391","4462159.01234027","4475938.22841195","9357308.66038285","7469705.76009936","-","0.79828","-1887602.9002835",1.001,"-1889490.50","-","-"
"wBTC","136.8332127","369.72266321","369.67664739","5586931.65734991","136.8332127","179.63874351","179.64309523","368.79835655","136.49112966","-","0.37010","-232.30722689",19130.19,"-4444081.39","-","-"
"ICHI","640429.791049041","839376.425645234","839201.072905803","2230600.57020951","264667.289782492","165599.01549557","165618.56710218","837277.98458112","638828.716571417","-","0.76298","-198449.268009703",3.87,"-767998.67","-","-"
"ETH","11205.1912311984","19322.5063887888","19286.1446651637","24528950.8894465","11205.1912311984","10280.3152001083","10295.6138009723","19274.2001228168","11177.1782531204","-","0.57990","-8097.02186969642",1028.54,"-8328110.87","-","-"
"USDC","1135760.082175","2452237.288225","2451575.957091","248235.224013893","117248.964094","2269376.205784","2269716.507709","2446106.695004","1132920.681969","-","0.46315","-1313186.013035",1.001,"-1314499.20","-","-"
"vBNT","4943225.30653788","4910815.46981219","4897351.14259903","1168300.85355585","1646091.99471642","544721.70783852","545711.063312667","4898538.43113766","4898538.43113766","-","1.00000","-",0.32991,"-","44686.8754002165","14742.65"
"WOO","6306443.93420207","8048316.30809652","8046652.62329665","272212.667667366","800774.747064092","2913901.96417815","2914450.36137536","8028195.51732628","6290677.82436657","-","0.78357","-1737517.69295971",0.160287,"-278501.50","-","-"
"wNXM","79373.600731375","115960.794629958","115758.796089835","863653.053620987","35845.8870059459","104841.905096448","104960.230538337","115670.892643383","79175.1667295466","-","0.68449","-36495.7259138366",11.23,"-409847.00","-","-"
"TRAC","1070202.14487533","1072171.23135647","1071390.23309176","211720.970883497","545652.770469526","148879.139365467","148929.908146313","1069490.80327808","1069490.80327808","-","1.00000","-",0.18818,"-","711.341597251295","133.86"
"HOT","239746918.853446","306986779.192751","306945354.689006","29577.5180677784","6884870.16072811","-","-","306219312.244769","239147551.556313","-","0.78097","-67071760.6884564",0.00205079,"-137550.10","-","-"
"PHTR","15116269.6938174","15177672.1998951","15176812.0537952","23141.6396410534","385473.254245501","-","-","15139728.0193954","15078479.0195829","-","0.99595","-61248.9998125147",0.02848779,"-1744.85","-","-"
"BAT","723769.398365623","2228315.46557348","2226651.64156358","256350.917046663","333466.622260615","125469.946154634","125543.163215592","2222744.67690954","721959.974869709","-","0.32481","-1500784.70203984",0.364271,"-546692.34","-","-"
"BORING","36559149.745332","43963319.8075452","43960684.4244356","37331.3082644921","835228.574615896","-","-","43853411.5080263","36467751.8709686","-","0.83158","-7385659.63705769",0.01864865,"-137732.58","-","-"
"MFG","42855343.3325807","45818803.466873","45817471.3712304","24480.4126618809","1443189.54150817","-","-","45704256.4582058","42748204.9742493","-","0.93532","-2956051.48395655",0.00766324,"-22652.93","-","-"
"ENJ","997017.607135893","2511586.57605929","2508787.55792266","1009848.50224366","996667.015005612","575042.177637409","575591.713104591","2505307.60961914","994525.063118053","-","0.39697","-1510782.54650109",0.475526,"-718416.38","-","-"
"REQ","1560216.30871322","1926595.24308106","1920349.1992278","268398.546980754","987757.339329353","900879.61295595","901768.142175499","1921778.75497336","1556315.76794143","-","0.80983","-365462.987031922",0.12244,"-44747.29","-","-"
"LQTY","195819.296153741","202639.210942688","202577.243861729","29668.9701123725","14228.1868664883","-","-","202132.612915331","195329.747913356","-","0.96634","-6802.86500197497",0.99503,"-6769.05","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","502.692249484601","502.692249484601","-","1.00000","-",0.126893,"-","1.25122077460465","0.16"
"INDEX","20163.5840595664","23049.3173379758","22835.3001997939","121654.636091651","18665.3163411804","4970.26074767615","5015.99414433835","22991.6940446308","20113.1750994175","-","0.87480","-2878.51894521336",3.01,"-8664.34","-","-"
