"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85944529.8059696","46117138.0724644","45887448.3860848","-","-","5021412.64163267","5037527.65075752","46117168.1537707","-","46117168.1537707","0.00000","-",0.472724,"-","39827361652198866684528162","18827349.71"
"LINK","2938098.77220116","5244383.46242578","5225242.50380744","37320274.6201452","2938098.77220116","2336404.84072523","2343781.72717428","5244383.46242578","2938098.77220116","-","0.56024","-2306284.69022462",6,"-13837708.14",,"-"
"DAI","6511071.75023785","8112306.73466104","8082814.87218509","8972019.13342811","4262681.31418607","3428321.15165868","3439090.68617045","8112378.19016997","6502749.28508043","-","0.80158","-1609628.90508954",1.001,"-1611238.53",,"-"
"wBTC","137.47098769","369.37020379","369.32019925","5553638.5545824","137.47098768","167.16352316","167.16777669","369.37020379","137.47098769","-","0.37218","-231.8992161",19120.08,"-4433931.56",,"-"
"ICHI","641719.85337156","839376.425645234","839201.072905803","2219872.63004201","265957.352105011","171890.473014853","171911.33923407","839376.425645234","641719.85337156","-","0.76452","-197656.572273674",3.88,"-766907.50",,"-"
"ETH","10935.4111564306","18942.2097765093","18905.9538488366","24187636.8474241","10943.4111564306","8934.88085712581","8948.27092578725","18942.2097765093","10943.4111564306","-","0.57773","-7998.79862007872",1043.94,"-8350265.83",,"-"
"USDC","1140802.226592","2457393.106658","2456439.759527","248614.575902199","117644.981963","2274240.00822","2274581.622192","2457393.106658","1140802.226592","-","0.46423","-1316590.880066",1.001,"-1317907.47",,"-"
"vBNT","4628788.6961509","4651412.65885314","4637957.63146402","1209002.78402585","1591407.86211739","276420.383378003","276932.825150395","4651412.65885314","4628788.6961509","-","0.99514","-22623.9627022326",0.32428,"-7336.50",,"-"
"WOO","6307852.63298384","8038962.75146876","8037292.54461064","1086995.83092945","3208642.33595682","2904541.88549214","2905088.43002879","8038962.75146876","6307852.63298384","-","0.78466","-1731110.11848493",0.159388,"-275918.18",,"-"
"wNXM","12673.4361918474","18238.465739122","18201.4161336896","296768.179668073","12673.4361918474","7124.48752644766","7133.34380668638","18238.465739122","12673.4361918474","-","0.69487","-5565.02954727457",11.14,"-61994.43",,"-"
"TRAC","933550.393346583","939904.303488333","939139.888425201","213674.435885862","540749.145465728","16628.7946989064","16633.6697022231","939904.303488333","933550.393346583","-","0.99324","-6353.91014175007",0.191647,"-1217.71",,"-"
"HOT","239746918.853446","306986779.192751","306945354.689006","29577.5180677784","6884870.16072811","-","-","306986779.192751","239746918.853446","-","0.78097","-67239860.3393047",0.00205208,"-137981.57",,"-"
"PHTR","15116269.6938174","15177672.1998951","15176812.0537952","23141.6396410534","385473.254245501","-","-","15177672.1998951","15116269.6938174","-","0.99595","-61402.506077709",0.02796415,"-1717.07",,"-"
"BAT","710346.126136628","2226599.99598154","2224882.61423288","266674.366695062","320611.585238198","208696.370785059","208833.235762212","2226599.99598154","710346.126136628","-","0.31903","-1516253.86984492",0.395067,"-599021.87",,"-"
"BORING","36747872.2777035","43963518.6635695","43960684.4244356","30480.443320448","1023951.10698743","-","-","43963518.6635695","36747872.2777035","-","0.83587","-7215646.38586602",0.01376085,"-99293.43",,"-"
"MFG","42855343.3325807","45818803.466873","45817471.3712304","24480.4126618809","1443189.54150817","-","-","45818803.466873","42855343.3325807","-","0.93532","-2963460.13429228",0.00830225,"-24603.39",,"-"
"ENJ","994537.743125395","2516491.83453475","2513645.65458963","1018016.04283525","994537.743125395","565105.369897075","565645.210205928","2516491.83453475","994537.743125395","-","0.39521","-1521954.09140935",0.485301,"-738605.84",,"-"
"REQ","1480756.37653774","1731975.08528887","1725941.51963702","344074.755432697","1480756.37653774","688940.65253009","689618.224856674","1731975.08528887","1480756.37653774","-","0.85495","-251218.708751134",0.112542,"-28272.66",,"-"
"LQTY","195936.553415445","202639.866738768","202577.243861729","29429.5721408549","14345.4441281928","-","-","202639.866738768","195936.553415445","-","0.96692","-6703.31332332248",0.970558,"-6505.95",,"-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.130078,"-0.00",,"-"
