"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85575597.7662446","46372858.6673574","46119573.1540072","-","-","4079332.05271211","4092434.21659151","46372858.6673574","-","46372858.6673574","0.00000","-",0.49779,"-","39202739.0988872","19514731.50"
"LINK","2634481.84578956","4728763.54503149","4711230.42052781","33949546.1783765","2634481.84578956","1724255.2743957","1729784.68707473","4728763.54503149","2634481.84578956","-","0.55712","-2094281.69924193",6.35,"-13298688.79","-","-"
"DAI","6182028.95643654","7632364.82391772","7602399.06623726","8844668.61271214","4329006.92486091","2889533.25867403","2898615.53415506","7632364.82391772","6182028.95643654","-","0.80998","-1450335.86748118",1.001,"-1451786.20","-","-"
"wBTC","140.99100788","373.82179456","373.75350276","5779374.31436579","140.99100787","166.3198843","166.32453181","373.82179456","140.99100788","-","0.37716","-232.83078668",20232,"-4710632.48","-","-"
"ICHI","671174.084628672","939318.357165521","938986.186073247","2285325.65494035","258525.113388648","171890.473014853","171911.33923407","939318.357165521","671174.084628672","-","0.71453","-268144.272536849",4.32,"-1158383.26","-","-"
"ETH","10408.9941481811","18337.3561987397","18300.1567761241","24130978.0979729","10408.9941481811","8373.12932526959","8385.6610615197","18337.3561987397","10408.9941481811","-","0.56764","-7928.36205055853",1148.99,"-9109608.71","-","-"
"USDC","1166464.687533","2465317.310055","2463834.678353","1961511.31783188","958321.49328","2278333.20427","2278680.544279","2465317.310055","1166464.687533","-","0.47315","-1298852.622522",1.002,"-1301450.33","-","-"
"vBNT","4443202.34792845","4495979.54145048","4479360.06479589","1236594.44406048","1563025.87477763","555945.677383111","557613.849921068","4495979.54145048","4443202.34792845","-","0.98826","-52777.1935220272",0.390978,"-20634.72","-","-"
"WOO","6025778.57171351","8014267.22174269","8011285.77919063","1805303.02576692","4822184.57306118","2909615.13387721","2910163.05653093","8014267.22174269","6025778.57171351","-","0.75188","-1988488.65002918",0.186217,"-370290.39","-","-"
"wNXM","12560.0140290633","22046.2359655999","21955.3613212865","368925.293986698","12560.0140290633","2983.45798655004","2988.2792953679","22046.2359655999","12560.0140290633","-","0.56971","-9486.22193653657",14.15,"-134230.04","-","-"
"TRAC","808176.480362647","813356.974463626","812460.513940355","213640.280275468","541372.089511218","-","-","813356.974463626","808176.480362647","-","0.99363","-5180.4941009782",0.190929,"-989.11","-","-"
"HOT","239751840.451461","306987148.629762","306945354.689006","29559.6594925567","6889791.75874309","-","-","306987148.629762","239751840.451461","-","0.78098","-67235308.1783006",0.00210826,"-141749.51","-","-"
"PHTR","15125389.7225975","15177759.979657","15176812.0537952","22621.8587160863","394593.283025552","-","-","15177759.979657","15125389.7225975","-","0.99655","-52370.2570595289",0.02987382,"-1564.50","-","-"
"BAT","700494.863385421","2258505.80221931","2256507.0129063","622539.35611323","700494.863385421","177534.656391901","177649.980732572","2258505.80221931","700494.863385421","-","0.31016","-1558010.93883389",0.434938,"-677638.16","-","-"
"BORING","36835826.3615167","43963806.058339","43960684.4244356","28090.7278238137","1111905.19080063","-","-","43963806.058339","36835826.3615167","-","0.83787","-7127979.69682227",0.01200975,"-85605.25","-","-"
"MFG","42723786.7722986","45698849.3785177","45697471.3712304","24813.3464272661","1423874.9065441","-","-","45698849.3785177","42723786.7722986","-","0.93490","-2975062.60621906",0.00877046,"-26092.67","-","-"
"ENJ","974847.450364585","2580898.88827528","2577609.21360713","1075924.31033094","974847.450364585","397679.526089847","398048.729118541","2580898.88827528","974847.450364585","-","0.37772","-1606051.43791069",0.54433,"-874221.98","-","-"
"REQ","1609012.28024358","1858851.05349017","1848813.48599323","379683.665455621","1609012.28024358","554233.398013064","555436.196891157","1858851.05349017","1609012.28024358","-","0.86560","-249838.773246593",0.115106,"-28757.94","-","-"
"LQTY","195722.190885254","202644.827110316","202577.243861729","58869.7736095111","28695.6121086128","-","-","202644.827110316","195722.190885254","-","0.96584","-6922.63622506229",0.995023,"-6888.18","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.129164,"-0.00","-","-"
"INDEX","9631.43943712129","10702.9773428536","10590.0244455934","59085.1361823161","9631.43943712129","-","-","10702.9773428536","9631.43943712129","-","0.89988","-1071.53790573231",3,"-3214.61","-","-"
"YFI","6.56221453998047","6.54757552815332","6.54757552815332","-","-","5.25634329372436","5.25634329372436","6.54757552815332","6.54757552815332","-","1.00000","-",6146.47,"-","0.0146390118271467","89.98"
"AMP","1576622.75634793","1658046.69048402","1654057.63004966","30171.9690471542","1576622.75634793","387256.914091833","387524.953719292","1658046.69048402","1576622.75634793","-","0.95089","-81423.9341360969",0.00912918,"-743.33","-","-"
"MATIC","204525.089774976","298324.818951041","298076.010899589","211402.876702644","204525.089774976","121966.630572866","122015.952225513","298324.818951041","204525.089774976","-","0.68558","-93799.7291760646",0.518613,"-48645.76","-","-"
"ANKR","582525.621642191","582584.005041789","582584.005041789","-","-","-","-","582584.005041789","582525.621642191","-","0.99990","-58.3833995981022",0.02820638,"-1.65","-","-"
"ROOK","135.755344414737","135.760601334582","135.760601334582","-","-","31.3423250558504","31.3423250558504","135.760601334582","135.755344414737","-","0.99996","-0.00525691984508087",32.16,"-0.17","-","-"
"RAIL","47152.1780782404","64383.5606639074","64383.5606639074","-","-","64383.5606639074","64383.5606639074","64383.5606639074","47152.1780782404","-","0.73236","-17231.382585667",0.913397,"-15739.09","-","-"
"AAVE","705.570454371925","743.578100595924","743.281676434326","87999.4307809084","705.570454371925","69.4821400274273","69.5037350701394","743.578100595924","705.570454371925","-","0.94889","-38.0076462239994",62.2,"-2364.08","-","-"
"MPH","23291.5704286512","23417.5043283034","23413.0722530042","98439.7282007157","23291.5704286512","4473.78542338998","4474.33242616428","23417.5043283034","23291.5704286512","-","0.99462","-125.933899652143",2.11,"-265.72","-","-"
"MKR","38.9817528120691","111.854546855915","111.737877280273","74031.360456061","38.9817528120691","38.1268563517288","38.1651675169673","111.854546855915","38.9817528120691","-","0.34850","-72.8727940438457",967.37,"-70494.95","-","-"
"DIP","2060721.02804593","3185516.67416782","3183373.94957761","98857.6100252693","2060721.02804593","397466.748241726","397707.437028928","3185516.67416782","2060721.02804593","-","0.64690","-1124795.64612188",0.02357445,"-26516.44","-","-"
"MANA","204878.138087567","242310.90870635","242301.893849373","48608.6610247488","27131.1687279748","192223.142633787","192227.069389825","242310.90870635","204878.138087567","-","0.84552","-37432.7706187824",0.905905,"-33910.53","-","-"
"QNT","1978.18637553719","3756.89104006632","3754.79707265805","245857.504182636","1978.18637553719","2102.14807515438","2102.78033486731","3756.89104006632","1978.18637553719","-","0.52655","-1778.70466452912",61.49,"-109372.55","-","-"
"NMR","251.329090818462","251.294884809284","251.294884809284","-","-","-","-","251.294884809284","251.294884809284","-","1.00000","-",17.32,"-","0.0342060091783252","0.59"
"SNX","43507.9815583092","50733.7501053217","50304.6989482743","240841.61255169","43507.9815583092","827.590218687994","832.7890221976","50733.7501053217","43507.9815583092","-","0.85757","-7225.76854701246",2.69,"-19437.32","-","-"
