"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","85261419.8018613","45162742.928486","44909549.8288318","-","-","2713929.74068291","2722486.62045084","45162742.928486","-","45162742.928486","0.00000","-",0.499238,"-","40098676.8733753","20018783.24"
"LINK","2572145.04472374","4640614.46072367","4623324.22278513","33517866.6392791","2572145.04472374","1647559.38446277","1652881.25501698","4640614.46072367","2572145.04472374","-","0.55427","-2068469.41599993",6.47,"-13382997.12","-","-"
"DAI","6217270.42873465","7618895.08844911","7588080.54249643","8753968.47609826","4376041.21050867","2889533.25867403","2898615.53415506","7618895.08844911","6217270.42873465","-","0.81603","-1401624.65971446",1.001,"-1403026.28","-","-"
"wBTC","137.46936611","372.50964074","372.43377913","5922567.21245254","137.4693661","164.30626108","164.31060045","372.50964074","137.46936611","-","0.36904","-235.04027463",21588,"-5074049.45","-","-"
"ICHI","665743.766492448","931718.544199818","931389.060628931","2285325.65494035","258525.113388648","164372.186896535","164392.552540016","931718.544199818","665743.766492448","-","0.71453","-265974.77770737",4.42,"-1175608.52","-","-"
"ETH","9978.95452257287","18023.7560903915","17986.4763203908","24347499.0562217","9978.95452257287","7834.83617510831","7846.4788344404","18023.7560903915","9978.95452257287","-","0.55366","-8044.80156781866",1222.2,"-9832356.48","-","-"
"USDC","1177396.67891","2465643.143717","2463834.678353","1940867.19707492","969253.484657","2278333.20427","2278680.544279","2465643.143717","1177396.67891","-","0.47752","-1288246.464807",1.001,"-1289534.71","-","-"
"vBNT","4406310.49899525","4472723.76036996","4455967.37361118","1247796.64266078","1549263.38379591","504721.912788222","506295.366639252","4472723.76036996","4406310.49899525","-","0.98515","-66413.2613747047",0.408311,"-27117.27","-","-"
"WOO","6027454.86889192","7995681.91045915","7992546.17928878","1798979.09691361","4839493.19129095","2285917.68664096","2286352.55368984","7995681.91045915","6027454.86889192","-","0.75384","-1968227.04156723",0.186442,"-366960.19","-","-"
"wNXM","11210.9621585445","22076.2937702292","21955.3613212865","415074.149360222","11210.9621585445","2983.45798655004","2988.2792953679","22076.2937702292","11210.9621585445","-","0.50783","-10865.3316116846",18.13,"-196988.46","-","-"
"TRAC","310712.588909263","315220.320877842","314801.815209645","124024.029454612","310712.588909263","-","-","315220.320877842","310712.588909263","-","0.98570","-4507.73196857973",0.198927,"-896.71","-","-"
"HOT","239836194.243791","306987148.629762","306945354.689006","29202.7368470537","6974145.5510722","-","-","306987148.629762","239836194.243791","-","0.78126","-67150954.3859715",0.00211364,"-141932.94","-","-"
"PHTR","15120260.1114575","15177804.0217729","15176812.0537952","22922.4024461057","389463.6718856","-","-","15177804.0217729","15120260.1114575","-","0.99621","-57543.9103153295",0.02663864,"-1532.89","-","-"
"BAT","706108.522478812","2248497.91494347","2246463.91759191","612205.762338649","706108.522478812","172336.331477848","172448.807264385","2248497.91494347","706108.522478812","-","0.31404","-1542389.39246465",0.43366,"-668872.58","-","-"
"BORING","36835826.3615167","43963806.058339","43960684.4244356","28090.7278238137","1111905.19080063","-","-","43963806.058339","36835826.3615167","-","0.83787","-7127979.69682227",0.0123445,"-87991.35","-","-"
"MFG","42695445.0673709","45698909.0751881","45697471.3712304","25318.3605619552","1395533.2016164","-","-","45698909.0751881","42695445.0673709","-","0.93428","-3003464.00781712",0.00922288,"-27700.59","-","-"
"ENJ","965009.277836811","2548079.08053069","2544831.2387645","1046090.1179206","965009.277836811","318801.188001494","319100.12614308","2548079.08053069","965009.277836811","-","0.37872","-1583069.80269388",0.536098,"-848680.56","-","-"
"REQ","1616425.86434845","1858964.96384808","1848813.48599323","378006.154069103","1616425.86434845","554233.398013064","555436.196891157","1858964.96384808","1616425.86434845","-","0.86953","-242539.099499634",0.116058,"-28148.60","-","-"
"LQTY","195673.566371749","202647.780823078","202577.243861729","58982.1166332676","28646.9875951083","-","-","202647.780823078","195673.566371749","-","0.96558","-6974.21445132888",1,"-6974.21","-","-"
"MTA","503.943470259206","503.952129809124","503.952129809124","-","-","-","-","503.952129809124","503.943470259206","-","0.99998","-0.00865954991816433",0.128393,"-0.00","-","-"
"INDEX","9388.42961120318","10706.8244285734","10590.0244455934","60658.7285036291","9388.42961120318","-","-","10706.8244285734","9388.42961120318","-","0.87686","-1318.39481737021",3.12,"-4113.39","-","-"
"YFI","6.56221453998047","6.54757552815332","6.54757552815332","-","-","5.25634329372436","5.25634329372436","6.54757552815332","6.54757552815332","-","1.00000","-",6433.47,"-","0.0146390118271467","94.18"
"AMP","29049344.7674573","48102350.8934957","47986622.4367217","89690.9707446119","4983885.72853858","46719821.7207639","46832495.057497","48102350.8934957","29049344.7674573","-","0.60391","-19053006.1260384",0.00915914,"-174509.15","-","-"
"MATIC","185520.414257054","284177.556223252","283925.366207978","211847.342724952","185520.414257054","101191.83052275","101229.498454752","284177.556223252","185520.414257054","-","0.65283","-98657.1419661974",0.565343,"-55775.12","-","-"
