"Block Hash","Block Number","Pool","Master Vault Balances","Staked Balance","Pool Token Supply","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"0x4e5202094e758215b27d3a7959b254cf4d28ab581d343d1b0b695a0d5d58093c",15022333,"LINK","3195607.753737801374309593","5861821.534813197338191231","5841219.993686480689850776","2969568.020334207696402700","2978748.867207055671051000"
"0x140aa8257bbcc8e643df907bbe639e9e96decb054d9ce37d68cde3d0ed0b45f9",15014782,"DAI","10730486.538822963333848558","11873744.349059887893523188","11837798.146120921193625464","7459353.525707158201720000","7480204.410213159801760000"
"0x00b45fd793ac0d5dbe6dabdbcb2c450c519abea84bf021e13b62ec3a1c64012f",14992890,"INDEX","19843.272725236996965230","23016.072496752981945479","22835.300199793940956742","12226.643041073138260000","12294.486634062925780000"
"0xbe7a4fde1f3480ec109e175b14a1b894bc4b4bb53d493c99d40b1396212d4720",15016816,"wBTC","134.18868842","371.89887148","371.87931268","223.45494338","223.46067900"
"0x6927e0d414fc5be6227327295d2d68ed3c848ca21bff667537660266ae08ed61",15008290,"TRAC","4106647.784006478259315838","4140777.498546119689256570","4139497.749094727610989106","3268993.206579200282000000","3269942.070664100703000000"
"0xd50d45af9a1d002ca804b8b5d7f0dc9795200245c190916d1f967971ba2b0ebb",15005771,"YFI","12.493340228645568154","12.493576922183819931","12.493576922183819931","11.255109070005346000","11.255109070005346000"
"0x12295fd049a426a4b26d0830e124b1de6695d1fa64a693913f04f9ef79599477",15020469,"vBNT","5193755.715978307219222069","5031514.329362844496468560","5021505.232351148568706471","527347.184292175597080000","528201.036685743512040000"
"0x15d323022de690b056d90172a51031e4ee526ffd6e9f40e8f327a79701482c19",15021952,"AMP","11331637.828064506690086145","11796144.436231186568534045","11787985.389620660445825721","7911783.650399087450000000","7916599.614506193450000000"
"0xb9b92a3046bfb34ccc86abb77003732c06a82bafe0e068699e8f19cc1fb5bf1c",15022050,"ETH","19146.739592850481017257","33471.704527440649953418","33413.181519455671512094","23508.460506160489355554","23533.069791504850212274"
"0x84df90696594c98a90b9a2a725ae84369c4eace74cdc12d9bdf4eed0d0e66da0",15020054,"MATIC","201958.177923093461978689","301666.898425142848886753","301502.847867317608517353","115403.257299132968600000","115441.784349426203850000"
