"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals","Full Withdrawal Amount","Full Withdrawal TKN Amount","Full Withdrawal BNT Amount","Implied TKN IL","TKN Surplus/Deficit","TKN USD Price","Surplus/Deficit USD","Vault TKN Residue","Vault Residue USD"
"BNT","84198977.3674088","45378437.3523752","45134416.2031408","-","-","4142526.63847591","4155699.30528551","45378446.0639632","-","45378446.0639632","0.00000","-",0.493872,"-","38820531.3034456","19172373.44"
"LINK","2647980.19475746","4736694.97304752","4719197.41228677","33864877.7445704","2647980.19475746","1710997.8362327","1716476.90311692","4736694.97304752","2647980.19475746","-","0.55904","-2088714.77829006",6.26,"-13075354.51","-","-"
"DAI","6280129.25604102","7731199.34582687","7701695.15050752","8803991.29661663","4347459.58618341","2989421.51010407","2998820.5521905","7731199.34582687","6280129.25604102","-","0.81231","-1451070.08978585",1.001,"-1452521.16","-","-"
"wBTC","141.99242732","373.81638469","373.75350276","5738242.02337764","141.99242731","166.3198843","166.32453181","373.81638469","141.99242732","-","0.37985","-231.82395737",19756.35,"-4579995.24","-","-"
"ICHI","663569.154286891","905329.653630059","905009.501960904","2290394.99973089","257948.012872759","171890.473014853","171911.33923407","905329.653630059","663569.154286891","-","0.73296","-241760.499343168",4.3,"-1039570.15","-","-"
"ETH","10437.8174724142","18336.1430812946","18299.3075503462","24028447.4182431","10437.8174724142","8376.72274053909","8389.25635045779","18336.1468587913","10437.8174724142","-","0.56925","-7898.32938637708",1131.22,"-8934748.17","-","-"
"USDC","1155392.654992","2457618.359099","2456297.332424","974768.815953656","481833.239765","2289093.531663","2289441.335185","2457618.359099","1155392.654992","-","0.47013","-1302225.704107",1.001,"-1303527.93","-","-"
"vBNT","4443047.24489785","4495979.54145048","4479360.06479589","1236715.60178223","1562870.77174704","555945.677383111","557613.849921068","4495979.54145048","4443047.24489785","-","0.98823","-52932.2965526251",0.405782,"-21478.97","-","-"
"WOO","6221730.53762338","8013749.7598173","8011285.77919063","1734558.77178583","5018136.53897105","2909615.13387721","2910163.05653093","8013749.7598173","6221730.53762338","-","0.77638","-1792019.22219392",0.170366,"-305299.15","-","-"
"wNXM","12303.6213589174","20860.0011303297","20777.1296915395","331322.206163884","11416.3326908182","2983.45798655004","2988.2792953679","20860.0011303297","12303.6213589174","-","0.58982","-8556.37977141231",14.16,"-121158.34","-","-"
"TRAC","915666.212413431","923528.982920434","922511.093726295","214411.349844187","539391.528905048","-","-","923528.982920434","915666.212413431","-","0.99149","-7862.77050700307",0.196771,"-1547.17","-","-"
